"All","Tutto"
"Use as my default billing address","Usa come indirizzo di fatturazione predefinito"
"Use as my default shipping address","Usa come indirizzo di spedizione predefinito"
"Save Address","Salva indirizzo"
"Go back","Indietro"
"Please enter your email below and we will send you the confirmation link for it.","Inserisci il tuo indirizzo email qui sotto e ti invieremo il link di conferma."
"Send confirmation link","Invia link di conferma"
"Back to Login","Indietro al login"
"Current Password","Password corrente"
"Confirm New Password","Conferma nuova password"
"Please enter your email address below. You will receive a link to reset your password.","Inserisci il tuo indirizzo email qui sotto. Riceverai un link per il reset della password."
"Registered Customers","Clienti registrati."
"If you have an account with us, log in using your email address.","Se hai un account, accedi utilizzando il tuo indirizzo email."
"Subscription option","Opzioni iscrizione"
"General Subscription","Iscrizione generale"
"Sign Up for Newsletter","Accedi per la newsletter"
"Address Information","Informazioni indirizzo"
"Login Information","Informazioni di accesso"
"Create account","Crea un account"
"Reset a Password","Reset della password"
"You have logged out and will be redirected to our homepage in 5 seconds.","Ti sei disconnesso, verrai reindirizzato alla home page in 5 secondi."
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account nel nostro negozio potrai avere accesso ad un checkout più veloce, conservare diversi indirizzi di spedizione, visualizzare e tracciare i tuoi ordini e moltro altro ancora."
"Date of Birth","Data di nascita"
"DD","GG"
"MM","MM"
"YYYY","AAAA"
"Gender","Sesso"
"Tax/VAT number","Numero P.IVA"
"Subscribe to Newsletter","Iscrivi alla newsletter"
"Recovery Link Expiration Period (days)","Durata link di recupero (giorni)"
"Please enter a number 1 or greater in this field.","Inserire un numero maggiore od uguale a 1"
"Email Sender","Mittente email"
"Customer Configuration","Configurazione cliente"
"Account Sharing Options","Opzioni condivisione account"
"Share Customer Accounts","Condividi account cliente"
"Leave empty for default (15 minutes).","Lascia vuoto per valore predefinito (15 minuti)."
"Create New Account Options","Opzioni creazione nuovo account."
"Enable Automatic Assignment to Customer Group","Abilita assegnazione automatica ad un gruppo cliente"
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Per mostrare il numero di P.IVA nel frontend, impostare l'opzione Mostra numero P.IVA nel frontend su sì"
"Tax Calculation Based On","Calcolo tasse basato su"
"Default Group","Gruppo predefinito"
"Group for Valid VAT ID - Domestic","Gruppo per numero P.IVA valido – Domestico"
"Group for Valid VAT ID - Intra-Union","Gruppo per numero P.IVA valido – Intra-Union"
"Group for Invalid VAT ID","Gruppo per numero P.IVA non valido"
"Validation Error Group","Gruppo errore convalida"
"Validate on Each Transaction","Convalida ad ogni transazione"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valore predefinito per Disabilita cambio automatico gruppo basato su numero P.IVA"
"Show VAT Number on Frontend","Mostra numero P.IVA nel frontend"
"Default Email Domain","Dominio email predefinito"
"Default Welcome Email","Email di benvenuto predefinita"
"Require Emails Confirmation","Richiede conferma email"
"Confirmation Link Email","Email link di conferma"
"Welcome Email","Email di benvenuto"
"This email will be sent instead of default welcome email, after account confirmation.","Questa email verrà inviata al posto dell\'email di benvenuto predefinita, dopo la conferma dell\'account."
"Generate Human-Friendly Customer ID","Genera ID clienti Human-Friendly"
"Password Options","Opzioni password"
"Forgot Email Template","Template email per password dimenticata"
"Remind Email Template","Template email ricordami"
"Reset Password Template","Template email per reset password"
"Password Template Email Sender","Template email mittente password"
"Name and Address Options","Opzioni nome ed indirizzo"
"Number of Lines in a Street Address","Numero di linee per l'indirizzo"
"Leave empty for default (2). Valid range: 1-4","Lasciare vuoto per predefinito (2). Intervallo valido: 1-4"
"Show Prefix","Mostra prefisso"
"The title that goes before name (Mr., Mrs., etc.)","Titolo che precede il nome (Sig., Sig.ra., etc.)"
"Prefix Dropdown Options","Opzioni menu a tendina prefisso"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","
                        Punto e virgola (;) valori separatori.<br/>Metti il punto e virgola all'inizio per opzioni iniziali vuote..<br/>Lascia vuoto per aprire il campo di testo.
                    "
"Show Middle Name (initial)","Mostra secondo nome (iniziali)"
"Always optional.","Sempre opzionale."
"Show Suffix","Mostra suffisso"
"The suffix that goes after name (Jr., Sr., etc.)","Il suffisso che segue il nome (Jr., Sr., etc.)"
"Suffix Dropdown Options","Opzioni menu a tendina suffisso"
"Show Date of Birth","Mostra data di nascita"
"Show Tax/VAT Number","Mostra numero P.IVA"
"Show Gender","Mostra sesso"
"Login Options","Opzioni di accesso"
"Redirect Customer to Account Dashboard after Logging in","Reindirizza i clienti alla panoramica account dopo l'accesso"
"Customer will stay on the current page if ""No"" is selected.","I clienti staranno nella pagina corrente se viene selezionato “No”."
"Address Templates","Template indirizzo"
"Group","Gruppo"
"Are you sure you want to delete?","Sei sicuro di volerlo eliminare?"
"Unsubscribe from Newsletter","Disiscriviti dalla newsletter"
"Assign a Customer Group","Assegna un gruppo cliente"
"Phone","Numero di telefono"
"ZIP","Codice postale"
"Customer Since","Cliente dal"
"n/a","n/d"
"Session Start Time","Ora inizio sessione"
"Last Activity","Ultima attività"
"Last URL","Ultimo URL"
"Edit Account Information","Modifica informazioni account"
"Forgot Your Password","Password dimenticata"
"Password forgotten","Password dimenticata"
"My Dashboard","Il mio pannello di controllo"
"You are now logged out","Ti sei disconnesso"
