"Cancel","Cancella"
"Please correct the newsletter template and try again.","Correggere il template newsletter e riprovare."
"The newsletter queue has been saved.","La coda newsletter è stata salvata."
"Newsletter Subscribers","Iscritti alla newsletter"
"Subscribers","Iscritti"
"Please select one or more subscribers.","Selezionare uno o più iscritti."
"Create Newsletter Template","Crea template newsletter"
"The newsletter template has been saved.","Il template newsletter è stato salvato"
"An error occurred while saving this template.","Si è verificato un errore durante il salvataggio di questo template."
"The newsletter template has been deleted.","Il template newsletter è stato eliminato."
"An error occurred while deleting this template.","Si è verificato un errore durante l\'eliminazione di questo template."
"Something went wrong while saving your subscription.","Qualcosa è andato storto durante il salvataggio della tua iscrizione."
"We saved the subscription.","Iscrizione salvata."
"We removed the subscription.","Iscrizione rimossa."
"The confirmation request has been sent.","La richiesta di conferma è stata inviata."
"Thank you for your subscription.","Grazie per la tua iscrizione."
"There was a problem with the subscription: %1","Si è verificato un problema con l\'iscrizione: %1"
"Something went wrong with the subscription.","Qualcosa è andato storto durante l\'iscrizione."
"Your subscription has been confirmed.","Iscrizione confermata."
"This is an invalid subscription confirmation code.","Questo non è un codice di conferma valido."
"This is an invalid subscription ID.","ID iscrizione non valido."
"You have been unsubscribed.","Sei stato disiscritto."
"Something went wrong with the un-subscription.","Qualcosa è andato storto con la disiscrizione."
"This email address is already assigned to another user.","Questo indirizzo email è già utilizzato da un altro utente."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Ci dispiace ma l\'iscrizione per gli ospiti non è permessa. ' '<a href=""%1"">Registrati</a>."
"Cancelled","Cancellato"
"There are no subscribers selected.","Non sono stati selezionati iscritti."
"You selected an invalid queue.","Hai selezionato una coda non valida."
"We cannot mark as received subscriber.","Non è possibile contrassegnare come iscritto ricevuto."
"Duplicate template code","Duplica codice template"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Premi questo link per disiscriverti <!-- This tag is for unsubscribe link  →' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Scegli la vista negozio:"
"Newsletter Message Preview","Anteprima messaggio newsletter"
"Add to Queue","Aggiungi alla coda"
"Are you sure that you want to strip all tags?","Sei sicuro di voler rimuovere tutti i tag?"
"Please enter new template name.","Inserire il nome del nuovo template."
" Copy"," Copia"
"Sign Up for Our Newsletter:","Registrati per la nostra newsletter:"
"Enter your email address","Inserisci indirizzo email"
"Subscribe","Iscriviti"
"CSV","CSV"
"Excel XML","Excel XML"
"Subscription Options","Opzioni iscrizione"
"Allow Guest Subscription","Consenti iscrizione ospiti"
"Need to Confirm","Conferma necessaria"
"Confirmation Email Sender","Mittente email di conferma"
"Confirmation Email Template","Template email di conferma"
"Success Email Sender","Mittente email di riuscita"
"Success Email Template","Template email di riuscita"
"Unsubscription Email Sender","Mittente email disiscrizione"
"Unsubscription Email Template","Template email disiscrizione"
"We found no problems.","Non sono stati riscontrati problemi."
"Subscriber","Iscritti"
"Queue Start Date","Data inizio coda"
"Queue Subject","Oggetto coda"
"Error Code","Errore coda"
"Error Text","Errore testo"
"Queue Start","Inizio coda"
"Queue End","Fine Coda"
"Processed","Processato"
"Unsubscribe","Disiscritto"
"Customer First Name","Nome cliente"
"Customer Last Name","Cognome cliente"
"Not Activated","Non attivato"
"Subscribed","Iscritto"
"Unsubscribed","Disiscritto"
"Unconfirmed","Non confermato"
