"Remove","Rimuovi"
"Items in Cart","Articoli nel carrello"
"Recently added item(s)","Articoli aggiunti di recente"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"Order total will be displayed before you submit the order","Il totale dell\'ordine verrà mostrato prima del suo invio."
"Cart Subtotal","Subtotale carrello"
"View cart","Visualizza carrello"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Click <a href=""%1"">here</a> to continue shopping.","Clicca <a href=""%1"">qui</a> per continuare lo shopping."
"Estimate Shipping and Tax","Costi di spedizioni e tasse stimati"
"Enter your destination to get a shipping estimate.","Inserisci la tua destinazione per stimare i costi di spedizione."
"Please select region, state or province","Selezionare regione, stato o provincia"
"City","Città"
"Zip/Postal Code","Codice postale"
"Get a Quote","Ottieni un preventivo"
"Update Total","Aggiorna il totale"
"View Details","Vedi dettagli"
"Options Details","Dettagli opzioni"
"Total:","Totale:"
"Edit item","Modifica articolo"
"You will see the order total before you submit the order.","Vedrai il totale dell\'ordine prima del suo invio."
"Loading next step...","Caricamento passo successivo..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Email Address","Indirizzo email"
"Company","Azienda"
"VAT Number","Numero P.IVA"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Street Address %1","Indirizzo %1"
"Telephone","Numero di telefono"
"Fax","Fax"
"Password","Password"
"Confirm Password","Conferma password"
"Save in address book","Salva nella rubrica"
"Ship to this address","Spedisci a questo indirizzo"
"Ship to different address","Spedisci ad un indirizzo diverso"
"Continue","Continua"
"Order #","Ordine #"
"Proceed to Checkout","Procedi al checkout"
"Login","Accedi"
"Already registered?","Già registrato?"
"Please log in below:","Accedi:"
"Forgot Your Password?","Password dimenticata?"
"Checkout as a Guest or Register","Esegui il checkout come ospite o registrati"
"Checkout as a Guest","Checkout come ospite"
"Register to Create an Account","Registrati per creare un account"
"Register and save time!","Registrati e risparmia tempo!"
"Register with us for future convenience:","Registrati per avere dei vantaggi in futuro:"
"Fast and easy check out","Checkout veloce e semplice"
"Easy access to your order history and status","Accesso semplice allo status del tuo ordine e alla cronologia ordini"
"Checkout as Guest","Checkout come ospite"
"Register","Registrati"
"No Payment Methods","Nessun metodo di pagamento"
"Your Checkout Progress","Stato checkout"
"Billing Address","Indirizzo di fatturazione"
"Shipping Address","Indirizzo di spedizione"
"Shipping method has not been selected yet","Non è ancora stato scelto un metodo di spedizione"
"Payment Method","Metodo di pagamento"
"Place Order","Effettua l\'ordine"
"Forgot an Item?","Hai dimenticato un prodotto?"
"Edit Your Cart","Modifica il carrello"
"Your credit card will be charged for","Sulla carta di credito verrà addebitato un importo di:"
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di spedizione dalla tua rubrica o inserisci un nuovo indirizzo."
"Use Billing Address","Usa indirizzo di fatturazione"
"Sorry, no quotes are available for this order at this time.","Ci dispiace ma in questo momento non sono disponibili valutazioni per questo ordine."
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"Your order # is: %1.","Il numero del tuo ordine è: %1."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai una conferma via email con i dettagli dell\'ordine e il link per seguirne i progressi."
"Click <a href=""%1"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%1"" onclick=""this.target='_blank'"">qui </a>per stampare una copia della conferma d\'ordine."
"Please specify a shipping method.","Specificare un metodo di spedizione."
"Please choose to register or to checkout as a guest.","Scegliere di registrarsi o di eseguire il checkout come ospite."
"We are not able to ship to the selected shipping address. Please choose another address or edit the current address.","Non è possibile spedire all\'indirizzo indicato. Scegliere un indirizzo diverso o modificare l\'indirizzo corrente."
"Please specify payment method.","Specificare metodo di pagamento"
"Please agree to all Terms and Conditions before placing the orders.","Accetta tutti i termini e le condizioni prima di piazzare l\'ordine."
"We can't complete your order because you don't have a payment method available.","Non è possibile completare l'ordine perché non hai un metodo di pagamento disponibile."
"Checkout Options","Opzioni checkout"
"Enable Onepage Checkout","Abilita onepage checkout"
"Allow Guest Checkout","Consenti checkout come ospite"
"Require Customer To Be Logged In To Checkout","Il cliente deve fare l\'accesso per fare il checkout"
"Quote Lifetime (days)","Durata preventivo (giorni)"
"After Adding a Product Redirect to Shopping Cart","Dopo l\'aggiunta di un prodotto reindirizza al carrello"
"My Cart Link","link al mio carrello"
"Display Cart Summary","Mostra sommario carrello"
"Shopping Cart Sidebar","Sidebar carrello"
"Display Shopping Cart Sidebar","Mostra sidebar carrello"
"Maximum Display Recently Added Item(s)","Numero massimo articoli recentemente aggiunti da mostrare"
"Payment Failed Emails","Email per pagamento non riuscito"
"Payment Failed Email Sender","Mittente email per pagamento non riuscito"
"Payment Failed Email Receiver","Destinatario email pagamento non riuscito"
"Payment Failed Template","Template email pagamento non riuscito"
"Send Payment Failed Email Copy To","Invia una copia dell\'email per pagamento non riuscito a"
"Separate by "","".","Separato da "",""."
"Send Payment Failed Email Copy Method","Metodo invio copia email per pagamento non riuscito"
"Your order has been received.","Il tuo ordine è stato ricevuto."
