"Are you sure?","Sei sicuro?"
"Back to My Orders","Ritorna ai miei ordini"
"View Another Order","Vedi un altro ordine"
"The order no longer exists.","L\'ordine non esiste più."
"Cannot add new comment.","Impossibile aggiungere un nuovo commento."
"Total Shipping Charges","Costi di spedizione totali"
"Append Comments","Allega commenti"
"The order was placed using %1.","L\'ordine è stato effettuato utilizzando %1."
"No shipping information available","Non sono disponibili informazioni di spedizione"
"Items Shipped","Articoli spediti"
"Qty Shipped","Qtà spedita"
"New Shipment for Order #%1","Nuova spedizione per l\'ordine #%1"
"Submit Shipment","Invia spedizione"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","Stai cercando di aggiungere una certa quantità di un prodotto che non coincide con la quantita che è stata spedita."
"The value that you entered is not valid.","Il valore inserito non è valido."
"Add Tracking Number","Aggiungi numero di tracciamento"
"Send Tracking Information","Invia informazioni di tracciamento"
"Are you sure you want to send a Shipment email to customer?","Sei sicuro di voler inviare un'email di spedizione al cliente?"
"the shipment email was sent","L'email di spedizione è stata inviata"
"the shipment email is not sent","L'email di spedizione non è stata inviata"
"Shipment #%1 | %3 (%2)","Spedizione #%1 | %3 (%2)"
"Create Shipping Label...","Crea etichetta spedizione..."
"About Your Shipment","Riguardo alla tua spedizione"
"Cannot do shipment for the order separately from invoice.","Impossibile spedire l\'ordine separatamente alla fattura"
"Cannot do shipment for the order.","Impossibile spedire l\'ordine."
"Please enter a tracking number.","Inserire un numero di tracciamento."
"New Shipment","Nuova spedizione"
"The shipment has been created.","La spedizione è stata creata."
"You created the shipping label.","Etichetta spedizione creata,"
"An error occurred while creating shipping label.","Si è verificato un errore durante la creazione dell\'etichetta di spedizione."
"Cannot save shipment.","Impossibile salvare la spedizione."
"You sent the shipment.","Spedizione inviata"
"Cannot send shipment information.","Impossibile inviare informazioni di spedizione."
"Cannot initialize shipment for adding tracking number.","Impossibile inizializzare spedizione per aggiungere numero di tracciamento."
"Cannot add tracking number.","Impossibile aggiungere numero di tracciamento."
"Cannot initialize shipment for delete tracking number.","Impossibile inizializzare spedizione per eliminare numero di tracciamento."
"Cannot delete tracking number.","Impossibile eliminare numero di tracciamento."
"Cannot load track with retrieving identifier.","Impossibile caricare il tracciamento con l\'identificatore di recupero."
"The comment text field cannot be empty.","Il campo di testo per il commento non può essere vuoto."
"We don't recognize or support the file extension in this shipment: %1.","Estensione file in questa spedizione non riconosciuta o non supportata: %1."
"There are no shipping labels related to selected orders.","Non ci sono etichette di spedizione collegate agli ordini selezionati."
"There are no shipping labels related to selected shipments.","Non ci sono etichette di spedizione collegate alle spedizioni selezionate."
"Sorry, but we can't deliver to the destination country with this shipping module.","Ci dispiace, non è possibile effettuare la spedizione al paese di destinazione con questo modulo di spedizione."
"The shipping module is not available.","Il modulo di spedizione non è disponibile."
"This shipping method is not available. Please specify the zip code.","Questo metodo di spedizione non è disponibile. Specificare il codice postale."
"Development","Sviluppo"
"Live","Live"
"Divide to equal weight (one request)","Dividi a parità di peso (una richiesta)"
"Use origin weight (few requests)","Usa peso origine (poche richieste)"
"We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.","Non ci sono abbastanza informazioni per creare le etichette di spedizione. Assicurati che le informazioni e le impostazioni del tuo negozio siano complete."
"Per Package","Per pacchetto"
"Tracking information is unavailable.","Informazioni di tracciamento non disponibili."
"Items to Ship","Articoli da spedire"
"Qty to Ship","Qtà da spedire"
"Shipment Comments","Commenti spedizione"
"Email Copy of Shipment","Copia email per spedizione"
"Invalid value(s) for Qty to Ship","Valori non validi per la qtà da spedire"
"USPS domestic shipments don't use package types.","USPS spedizioni domestiche non utilizza i tipi di pacchetto."
"Shipping &amp; Handling Information","Informazioni spedizione &amp; gestione"
"Track Order","Traccia ordine"
"Shipment History","Cronologia spedizione"
"Print All Shipments","Stampa tutte le spedizioni"
"Shipment #","Spedizione #"
"Print Shipment","Stampa spedizione"
"Tracking Number(s):","Numero di tracciamento:"
"Tracking Number:","Numero di tracciamento:"
"Carrier:","Corriere:"
"Error:","Errore:"
"Tracking information is currently not available. Please ","Le informazioni di tracciamento non sono al momento disponibili."
"contact us","Contattaci"
" for more information or "," per maggiori informazioni o"
"email us at ","inviaci una mail a "
"Info:","Informazioni:"
"Track:","Tracciamento:"
"Delivered on:","Consegnato il:"
"Signed by:","Firmato da:"
"Delivered to:","Consegnato a:"
"Shipped or billed on:","Spedite o fatturato su:"
"Service Type:","Tipo servizio:"
"Weight:","Peso:"
"Local Time","Ora locale"
"There is no tracking available for this shipment.","Non è disponibile un codice di tracciamento per questa spedizione."
"There is no tracking available.","Non è disponibile un codice di tracciamento."
"ZIP/Postal Code","Codice postale"
"Street Address Line 2","Indirizzo linea 2"
"Shipping Settings","Impostazioni di spedizione"
"Origin","Origine"
