"Close","Chiudi"
"The value is not within the specified range.","Il valore non si trova nell\'intervallo specificato."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Utilizzare solo numeri in questo campo. Evita spazi o altri caratteri come punti o virgole."
"Please use letters only (a-z or A-Z) in this field.","Utilizzare solo lettere in questo campo (a-z o A-Z)."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilizzare solo lettere (a-z), numeri (0-9) o underscore(_) in questo campo, il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilizzare solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Non sono ammessi spazi o altri caratteri."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Utilizzare solo lettere (a-z or A-Z) o numeri (0-9) o spazi e# in questo campo."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Inserire un numero di fax valido. Per esempio (123) 456-7890 o 123-456-7890."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valid. Per esempio johndoe@domain.com."
"Please use only visible characters and spaces.","Utilizzare solo caratteri visibili e spazi."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Inserire 6 o più caratteri. Spazi iniziali e finali verranno ignorati."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Inserire 7 o più caratteri. La password deve contenere sia caratteri alfabetici che numerici."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Inserire un URL valido. Il protocollo è obbligatorio (http://, https:// or ftp://)"
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Inserire una chiave URL valida. Per sempio ""example-page"", ""example-page.html"" o ""anotherlevel/example-page""."
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Inserire un identificatore XML valido. Per esempio something_1, block5, id-4."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un codice fiscale valido. Per esempio RSS MRA 85T10 A562S."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserire un codice postale valido. Per esempio 90602 o 90602-1234."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Utilizzare questo formato per la data: gg/mm/aaaa. Per esempio 17/03/2006 per il 17 Marzo del 2006."
"Please select one of the above options.","Selezionare una delle opzioni soprastanti."
"Please select one of the options.","Selezionare una delle opzioni."
"Credit card number does not match credit card type.","Il numero della carta di credito non combacia con il tipo di carta."
"Card type does not match credit card number.","Il tipo di carta di credito non combacia con il numero."
"Incorrect credit card expiration date.","Data scadenza carta di credito non corretta."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","In questo campo utilizzare solo lettere (a-z o A-Z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Inserire una lunghezza CSS valida. Per esempio 100px o 77pt o 20em o .5ex o 50%."
"Text length does not satisfy specified text range.","La lunghezza non soddisfa l\'intervallo di testo specificato."
"Please enter a number lower than 100.","Inserire un numero inferiore a 100."
"Please select a file","Selezionare un file"
"Please enter issue number or start date for switch/solo card type.","Inserire numero emissione o data di inizio per tipo di carda switch/solo."
"This date is a required value.","La data è un campo obbligatorio."
"Please enter a valid day (1-%1).","Inserire giorno (1-%1)."
"Please enter a valid month (1-12).","Inserire mese (1-12)."
"Please enter a valid year (1900-%1).","Inserire anno (1900-%1)."
"Please enter a valid full date","Inserire data completa"
"Done","Fatto"
"File extension not known or unsupported type.","Estensione file sconosciuta o non supportata."
"Configure Product","Configura prodotto"
"Gift Options for ","Opzioni regalo per"
"Add Products to New Option","Aggiungi prodotti alla nuova opzione"
"Add Products to Option ""%1""","Aggiungi prodotti all\'opzione ""%1"""
"Add Selected Products","Aggiungi prodotti selezionati"
"Select type of option.","Selezionare tipo opzione."
"Please add rows to option.","Aggiungere righe all\'opzione"
"Select Product","Seleziona prodotto"
"Add Products to Group","Aggiungi prodotti al gruppo."
"Choose existing category.","Scegli una categoria esistente."
"Create Category","Crea categoria."
"Something went wrong while loading the theme.","Qualcosa è andato storto durante il caricamento del tema."
"We don't recognize or support this file extension type.","Tipo estensione file non riconosciuto o non supportato."
"No stores were reassigned.","Non sono stati riassegnati negozi."
"Assign theme to your live store-view:","Assegna il tema alla tua vista negozio live."
"Default title","Titolo predefinito"
"The URL to assign stores is not defined.","L\'URL per assegnare i negozio non è definito."
"Some problem with revert action","Si è verificato un errore durante l\'inversione."
"Error: unknown error.","Errore: errore sconosciuto."
"Some problem with save action","Si è verificato un errore durante il salvataggio."
"Are you sure you want to delete the folder named","Sei sicuro di voler eliminare la cartella chiamata"
"Method ","Metodo"
"Translate","Traduci"
"Please enter a value less than or equal to %s.","Inserire un valore minore od uguale a %s."
"Please enter a value greater than or equal to %s.","Inserire un valore maggiore od uguale a %s."
"Maximum length of this field must be equal or less than %1 symbols.","La lunghezza massima di questo campo deve essere uguale o minore di %1 simboli."
"Recent items","Articoli recenti"
"Show all...","Mostra tutto..."
"Please enter a date in the past.","Inserire una data pasata."
"Please enter a date between %min and %max.","Inserire una data tra %min e %max."
"Please choose to register or to checkout as a guest.","Scegliere se registrarsi o eseguire il checkout come ospite."
"We are not able to ship to the selected shipping address. Please choose another address or edit the current address.","Non possiamo eseguire la spedizione all\'indirizzo selezionato. Scegliere un indirizzo diverso o modifica l\'indirizzo corrente."
"We can't complete your order because you don't have a payment method available.","Non possiamo completare l'ordine perché non hai un metodo di pagamento disponibile."
"Error happened while creating wishlist. Please try again later","Si è verificato un errore durante la creazione della lista dei desideri. Riprova più tardi."
"You must select items to move","Devi selezionare degli articoli per continuare"
"You must select items to copy","Devi selezionare degli articoli per copiare"
"You are about to delete your wish list. This action cannot be undone. Are you sure you want to continue?","Stai per eliminare questa lista dei desideri. Questa azione non può essere annullata. Sei sicuro di voler continuare?"
"Please specify payment method.","Specificare un metodo di pagamento"
"Use gift registry shipping address","Utilizza indirizzo di spedizione registrato per regalo"
"You can change the number of gift registry items on the Gift Registry Info page or directly in your cart, but not while in checkout.","Puoi modificare il numero di articoli registrati come regalo nella pagina di informazioni Registro regalo o direttamente nel tuo carrello, ma non durante il checkout."
"No confirmation","Nessuna conferma"
"Sorry, something went wrong.","Qualcosa è andato storto."
"Sorry, something went wrong. Please try again later.","Qualcosa è andato storto. Riprova più tardi."
"unselect all","Deseleziona tutto"
"Please agree to all Terms and Conditions before placing the orders.","Accetta tutti i termini e le condizioni prima di effettuare l'ordine."
"Please choose to register or to checkout as a guest","Scegli se registrati o eseguire il checkout come ospite."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","In questo momento il tuo ordine non può essere completato a causa della mancanza di un metodo di spedizione disponibile. Fai le modifiche necessarie nel tuo indirizzo di spedizione."
"Please specify shipping method.","Specificare un metodo di spedizione"
"Your order cannot be completed at this time as there is no payment methods available for it.","In questo momento il tuo ordine non può essere completato a causa della mancanza di un metodo di pagamento disponibile."
"Ok","Ok"
"Translations","Traduzioni"
"Translation files.","File di traduzione."
