"Remove","Rimuovi"
"Processing","Elaborazione"
"Add To Order","Aggiungi all\'ordine"
"Configure and Add to Order","Configura e aggiungi all\'ordine"
"No items","Nessun articolo"
"Authorization","Autorizzazione"
"Ordered amount of %1","Importo ordinato di %1"
"Payment transactions disallow storing objects.","La transazione di pagamento non consente di conservare oggetti."
"Transaction ID","ID transazione"
"Order ID","ID ordine"
"Void","Nullo"
"Created At","Creato il"
"Payment Method:","Metodo di pagamento:"
"Ship To","Spedisci a"
"Invalid parent block for this block","Blocco parente non valido per questo blocco"
"Grand Total (Base)","Totale (Base)"
"Grand Total (Purchased)","Totale (acquistato)"
"Customer Name","Nome cliente"
"We couldn't update the payment.","Impossibile aggiornare il pagamento"
"Shopping Cart Price Rule","Regola di prezzo del carrello"
"CSV","CSV"
"Excel XML","Excel XML"
"Total Refunded","Totale rimborsato"
"Paid","Pagato"
"Coupons","Coupon"
"Recently Viewed","Visualizzati di recente"
"Recently Compared Products","Prodotti confrontati di recente"
"Recently Viewed Products","Prodotti visualizzati di recente"
"Print","Stampa"
"Submit Comment","Invia commento"
"Returned","Rimborsato"
"Order Date","Data ordine"
"Order # ","Ordine # "
"Order Date: ","Data ordine:"
"Comment Text","Testo commento"
"Visible on Frontend","Visibile nel frontend"
"Not Notified","Non notificato"
"Please select products.","Selezionare prdootti"
"Number","Numero"
"Order Date: %1","Data ordine: %1"
"Discount (%1)","Sconto (%1)"
"Shipping &amp; Handling","Spedizione &amp; Gestione"
"Credit Memos","Note di credito"
"Invoices","Fatture"
"We cannot get the order instance.","Impossibile ottenere l\'istanza dell\'ordine."
"Create New Order","Crea nuovo ordine."
"Save Order Address","Salva indirizzo ordine"
"Edit Order %1 %2 Address","Modifica indirizzo ordine %1 %2"
"Order Address Information","Informazioni indirizzo ordine"
"Please correct the parent block for this block.","Correggere il blocco parente per questo blocco."
"Submit Order","Invia ordine"
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Order Comment","Commento ordine"
"Please select a customer.","Selezionare un cliente"
"Create New Customer","Crea un nuovo cliente"
"Edit Order #%1","Modifica ordine #%1"
"Create New Order for %1 in %2","Crea un nuovo ordine per %1 in %2"
"Create New Order for New Customer in %1","Crea un nuovo ordine per il nuovo cliente in %1"
"Create New Order for %1","Crea nuovo ordine per %1"
"Create New Order for New Customer","Crea un nuovo ordine per un nuovo cliente"
"Items Ordered","Articoli ordinati"
"This product is disabled.","Questo prodotto è disabilitato"
"Buy %1 for price %2","Compra %1 al prezzo di %2"
"Item ordered qty","Qtà articolo ordinata"
"%1 with %2 discount each","%1 con %2 sconto ognuno"
"%1 for %2","%1 per %2"
"* - Enter custom price including tax","* - Inserire prezzo personalizzato includendo le tasse"
"* - Enter custom price excluding tax","* - Inserire prezzo personalizzato includendo le tasse"
"This product does not have any configurable options","Questo prodotto non ha nessuna opzione configurabile"
"Add Selected Product(s) to Order","Aggiungi prodotti selezionati all\'ordine"
"Update Changes","Aggiorna modifiche"
"Are you sure you want to delete all items from shopping cart?","Sei sicuro di voler eliminare tutti gli articoli dal carrello?"
"Products in Comparison List","Prodotti nella lista di confronto"
"Last Ordered Items","Ultimi articoli ordinati"
"Please select a store.","Selezionare un negozio."
"Order Totals","Totale ordine"
"Shipping Incl. Tax (%1)","Spedizione tasse incluse (%1)"
"Shipping Excl. Tax (%1)","Spedizione tasse escluse (%1)"
"New Credit Memo for Invoice #%1","Nuova nota di credito per la fattura #%1"
"New Credit Memo for Order #%1","Nuova nota di credito per l\'ordine #%1"
"Refund Shipping (Incl. Tax)","Rimborsa spedizione (incluse tasse)"
"Refund Shipping (Excl. Tax)","Rimborsa spedizione (tasse escluse)"
"Refund Shipping","Rimborsa spedizione"
"Update Qty's","Aggiorna quantità"
"Refund","Rimborsa"
"Refund Offline","Rimborso offline"
"Paid Amount","Importo pagato"
"Refund Amount","Importo rimborsato"
"Shipping Refund","Rimborso spedizione"
"Order Grand Total","Totale ordine"
"Adjustment Refund","Registrazione rimborso"
"Adjustment Fee","Registrazione tasse"
"Send Email","Invia email"
"Are you sure you want to send a Credit memo email to customer?","Sei sicuro di voler inviare una email al cliente con la nota di credito?"
"The credit memo email was sent","L\'email per la nota di credito è stata inviata"
"the credit memo email is not sent","L\'email per la nota di credito non è stata inviata"
"Credit Memo #%1 | %3 | %2 (%4)","Nota di credito #%1 | %3 | %2 (%4)"
"Total Refund","Totale rimborso"
"New Invoice and Shipment for Order #%1","Fattura e spedizione per l\'ordine #%1"
"New Invoice for Order #%1","Nuova fattura per l\'ordine #%1"
"Submit Invoice and Shipment","Presenta fattura e spedizione"
"Submit Invoice","Presenta fattura"
"Are you sure you want to send an Invoice email to customer?","Sei sicuro di voler inviare una email al cliente con la fattura?"
"Credit Memo","Nota di credito"
"Capture","Cattura"
"the invoice email was sent","L\'email con la fattura è stata inviata"
"the invoice email is not sent","L\'email con la fattura non è stata inviata"
"Invoice #%1 | %2 | %4 (%3)","Fattura #%1 | %2 | %4 (%3)"
"Order Statuses","Status ordine"
"Create New Status","Crea un nuovo status"
"Assign Status to State","Assegna status allo stato"
"Save Status Assignment","Salva assegnazione status"
"Assign Order Status to State","Assegna status ordine allo stato"
"Assignment Information","Informazioni assegnazione"
"Order State","Ordina stato"
"Use Order Status As Default","Utilizza ordine status come predefinito"
"Visible On Frontend","Visibile nel frontend"
"Edit Order Status","Modifica ordine status"
"Save Status","Salva status"
"New Order Status","Nuovo status ordine"
"Order Status Information","Informazioni status ordine"
"Status Code","Codice status"
"Status Label","Etichetta status"
"Store View Specific Labels","Etichette specifiche vista negozio"
"Total Paid","Totale pagato"
"Total Due","Totale dovuto"
"Are you sure you want to send an order email to customer?","Sei sicuro di voler inviare una email per l'ordine al cliente?"
"This will create an offline refund. ' 'To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Creerà un rimborso offline. ' 'Per creare un rimborso online apri una fattura e crea una nota di credito per essa. Vuoi continuare?"
"Are you sure you want to void the payment?","Sei sicuro di voler annullare il pagamento?"
"Hold","Blocca"
"hold","Blocca"
"Unhold","Non in attesa"
"unhold","Non in attesa"
"Are you sure you want to accept this payment?","Sei sicuro di voler accettare questo pagamento?"
"Accept Payment","Accetta pagamento"
"Are you sure you want to deny this payment?","Sei sicuro di voler rifiutare questo pagamento?"
"Deny Payment","Rifiuta pagamento"
"Get Payment Update","Ottieni aggiornamento pagamento"
"Invoice and Ship","Fattura e spedizione"
"Invoice","Fattura"
"Ship","Spedizione"
"Reorder","Riordina"
"Order # %1 %2 | %3","Ordine # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. ' 'If you wish to continue editing, the (%2) items will be removed, ' ' the order will be canceled and a new order will be placed.","Questo ordine contiene (%1) articoli e quindi non può essere modificato attraverso l\'interfaccaio admin. ' 'Se vuoi continuare la modifica, gli (%2) articoli verranno rimossi, ' ' l\'ordine verrà cancellato e verrà creato un nuovo ordine."
"Are you sure? This order will be canceled and a new one will be created instead.","Sei sicuro? Questo ordine verrà cancellato e ne verrà creato uno nuovo al suo psoto."
"Save Gift Message","Salva messaggio regalo"
"Order Credit Memos","Note di credito ordine"
"Credit memo #%1 created","Creata nota di credito #%1"
"Credit memo #%1 comment added","Aggiunto commento alla nota di credito #%1"
"Shipment #%1 created","Spedizione #%1 creata"
"Shipment #%1 comment added","Aggiunto commento alla spedizione #%1"
"Invoice #%1 created","Creata fattura #%1 "
"Invoice #%1 comment added","Aggiunto commento alla fattura #%1"
"Tracking number %1 for %2 assigned","Numero di tracciamento %1 per %2"
"Comments History","Cronologia commenti"
"Order History","Cronologia ordine"
"Order Information","Informazioni ordine"
"Order Invoices","Fatture ordine"
"Shipments","Spedizioni"
"Order Shipments","Spedizioni ordine"
"Transactions","Transazioni"
"Order View","Visualizzazioni ordine"
"Applies to Any of the Specified Order Statuses","Applica a qualsiasi status ordine specificato"
"Show Actual Values","Mostra valori attuali"
"Shipping & Handling","Spedizione e gestione"
"Fetch","Reso"
"Transaction # %1 | %2","Transazione # %1 | %2"
"Key","Chiave"
"Value","Valore"
"We found an invalid entity model.","È stato trovato un modello entità non valido."
"Order # %1","Ordine # %1"
"Back to My Orders","Ritorna a I miei ordini"
"View Another Order","Vedi un altro ordine"
"About Your Refund","Riguardo al tuo rimborso"
"My Orders","I miei ordini"
"About Your Invoice","Riguardo alla tua fattura"
"Print Order # %1","Stampa ordine # %1"
"Grand Total to be Charged","Totale da addebitare"
"Unassign","Disassegna"
"We sent the message.","Il messaggio è stato inviato."
"This order no longer exists.","Questo ordine non esiste più."
"Exception occurred during order load","Si è verificata un\'eccezione durante il caricamento dell\'ordine."
"You sent the order email.","Email ordine inviata."
"We couldn't send the email order.","Impossibile inviare l\'email dell\'ordine."
"You canceled the order.","Ordine cancellato."
"You have not canceled the item.","Non hai cancellato l\'articolo."
"You put the order on hold.","L\'ordine è stato messo In attesa."
"You have not put the order on hold.","Non hai messo l\'ordine In attesa."
"You released the order from holding status.","Hai tolto l\'ordine dallo status di In attesa."
"The order was not on hold.","L\'ordine non era In attesa."
"The payment has been accepted.","Il pagamento è stato accettato."
"The payment has been denied.","Il pagamento è stato rifiutato."
"The payment update has been made.","Aggiornamento pagamento eseguito."
"Comment text cannot be empty.","Il testo del commento non può essere vuoto."
"We cannot add order history.","Impossibile aggiungere cronologia ordine."
"%1 order(s) cannot be canceled.","%1 ordini non possono essere cancellati."
"You cannot cancel the order(s).","Impossibile cancellare gli ordini."
"We canceled %1 order(s).","Sono stati cancellati %1 ordini."
"%1 order(s) were not put on hold.","%1 ordini non erano stati messi In attesa."
"No order(s) were put on hold.","Nessun ordine era stato messo In attesa."
"You have put %1 order(s) on hold.","Hai messo %1 ordine/i In attesa."
"%1 order(s) were not released from on hold status.","%1 ordini non sono stati tolti dallo status di In attesa."
"No order(s) were released from on hold status.","Nessun ordine è stato tolto dallo status di In attesa."
"%1 order(s) have been released from on hold status.","%1 ordini sono stati tolti dallo status di In attesa."
"There are no printable documents related to selected orders.","Non ci sono documenti stampabili collegati agli ordini selezionati."
"The payment has been voided.","Il pagamento è stato annullato."
"We couldn't void the payment.","Impossibile annullare il pagamento."
"You updated the order address.","Indirizzo ordine aggiornato."
"Something went wrong updating the order address.","Qualcosa è andato storto durante l\'aggiornamento dell\'indirizzo dell\'ordine"
"""%1"" coupon code is not valid.","""%1"" codice coupon non valido."
"The coupon code has been accepted.","Codice coupon accettato."
"New Order","Nuovo ordine."
"The order no longer exists.","L\'ordine non esiste più."
"Cannot create credit memo for the order.","Impossibile creare nota di credito per l\'ordine."
"View Memo for #%1","Visualizza promemoria per #%1"
"View Memo","Nuovo promemoria"
"New Memo for #%1","Nuovo promemoria per #%1"
"New Memo","Nuovo promemoria"
"Cannot update the item's quantity.","Impossibile aggiornare la quantità dell'articolo."
"Credit memo's total must be positive.","Il totale della nota di credito deve essere positivo."
"Cannot create online refund for Refund to Store Credit.","Impossibile creare una nota di credito per Rimborsa credito negozio."
"You created the credit memo.","Nota di credito creata."
"Cannot save the credit memo.","Impossibile salvare la nota di credito."
"The credit memo has been canceled.","La nota di credito è stata cancellata."
"You canceled the credit memo.","Nota di credito cancellata."
"You voided the credit memo.","Nota di credito annullata."
"We can't void the credit memo.","Impossibile annullare la nota di credito."
"The Comment Text field cannot be empty.","Il campo di testo del commento non può essere vuoto."
"Cannot add new comment.","Impossibile aggiungere un nuovo commento."
"Edit Order","Modifica ordine"
"The invoice no longer exists.","La fattura non esiste più."
"The order does not allow an invoice to be created.","L\'ordine non consente di creare una fattura."
"Cannot create an invoice without products.","Impossibile creare una fattura senza prodotti."
"New Invoice","Nuova fattura."
"Cannot update item quantity.","Impossibile aggiornare quantità prodotti."
"The invoice and the shipment  have been created. ' 'The shipping label cannot be created now.","La fattura e la spedizione sono state create. ' 'In questo momento l\'etichetta della spedizione non può essere creata."
"You created the invoice and shipment.","Spedizione e fattura create."
"The invoice has been created.","La fattura è stata creata."
"We can't send the invoice email.","Impossibile inviare l\'email di fattura."
"We can't send the shipment.","Impossibile inviare la spedizione."
"We can't save the invoice.","Impossibile salvare la fattura."
"The invoice has been captured.","La fattura è stata acquisita."
"Invoice capturing error","Errore acquisizione fattura."
"You canceled the invoice.","Fattura cancellata."
"Invoice canceling error","Errore cancellazione fattura."
"The invoice has been voided.","La fattura è stata annullata."
"Invoice voiding error","Errore annullamento fattura"
"Create New Order Status","Crea un nuovo status ordine"
"We can't find this order status.","Impossibile trovare questo status ordine."
"We found another order status with the same order status code.","È stato trovato un altro status ordine con lo stesso codice status ordine."
"You have saved the order status.","Status ordine salvato."
"We couldn't add your order status because something went wrong saving.","Non è stato possibile aggiungere il tuo status ordine perché qualcosa è andato storto durante il salvataggio."
"You have assigned the order status.","Status ordine assegnato."
"An error occurred while assigning order status. Status has not been assigned.","Si è verificato un errore durante l\'assegnazione dello status ordine. Lo status non è stato assegnato."
"You have unassigned the order status.","Hai disassegnato lo status ordine."
"Something went wrong while we were unassigning the order.","Qualcosa è andato storto durante la disassegnazione dell\'ordine."
"Something went wrong while saving the gift message.","Qualcosa è andato storto durante il salvataggio del messaggio regalo."
"The gift message has been saved.","Il messaggio regalo è stato salvato."
"Please correct the transaction ID and try again.","Correggere ID transazione e riprovare."
"The transaction details have been updated.","I dettagli della transazione sono stati aggiornati."
"We can't update the transaction details.","Impossibile aggiornare dettagli transazione."
"Orders and Returns","Ordini e resi."
"This item price or quantity is not valid for checkout.","Il prezzo o la quantità dell\'articolo non è valida per il checkout."
"You entered incorrect data. Please try again.","Dati inseriti non corretti. Riprovare."
"We couldn't find this wish list.","Impossibile trovare questa lista dei desideri."
"We could not add a product to cart by the ID ""%1"".","Non possiamo aggiungere un prodotto al carrello tramite il suo ID ""%1""."
"There is an error in one of the option rows.","Errore in una delle righe opzione."
"Shipping Address: ","Indirizzo di spedizione:"
"Billing Address: ","Indirizzo di fatturazione:"
"You need to specify order items.","Devi specificare gli articoli dell\'ordine."
"You need to specify a shipping method.","Devi specificare il metodo di spedizione."
"A payment method must be specified.","Devi specificare un metodo di pagamento."
"This payment method instance is not available.","Istanza metodo di pagamento non disponibile."
"This payment method is not available.","Metodo di pagamento non disponibile."
"VAT Request Identifier","Identificatore P.IVA richiesto"
"VAT Request Date","Data P.IVA richiesta"
"The Order State ""%1"" must not be set manually.","Lo stato dell\'ordine ""%1"" non deve essere impostato manualmente."
"A hold action is not available.","Azione blocca non disponibile."
"You cannot remove the hold.","Impossibile rimuovere il blocco."
"We cannot cancel this order.","Impossibile cancellare questo ordine."
"The most money available to refund is %1.","La maggior parte dei soldi disponibili per il rimborso è %1."
"We cannot register an existing credit memo.","Impossibile registrare una nota di credito esistente."
"Unknown State","Stato sconosciuto."
"We found an invalid quantity to refund item ""%1"".","È stata trovata una quantità non valida di articolo rimborsato ""%1""."
"Maximum shipping amount allowed to refund is: %1","Importo massimo rimborsabile per la spedizione: %1"
"We cannot register an existing invoice","Impossibile registrare una fattura esistente."
"We found an invalid quantity to invoice item ""%1"".","È stata trovata una quantità non valida di articolo da fatturare ""%1""."
"Unknown Status","Status sconosciuto"
"Backordered","Backordered"
"Partial","Parziale"
"Mixed","Misto"
"An amount of %1 will be captured after being approved at the payment gateway.","Un importo di %1 verrà acquistio dopo essere stato approvato dal gateway di pagamento."
"Captured amount of %1 online","Importo acquisito di %1 "
"An order with subscription items was registered.","Un ordine con articoli iscrizione è stato registrato."
"The transaction ""%1"" cannot be captured yet.","La transazione ""%1"" non può ancora essere acquisita."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Ordine sospeso perché il suo importo da acquisire %1 è sospettato di essere fraudolento."
"Registered notification about captured amount of %1.","Notifica registrata riguardante importo acquisito %1."
"Registered a Void notification.","Registrata notifica nulla."
"If the invoice was created offline, try creating an offline credit memo.","Se la fattura è stata creata offline prova a creare una nota di credito offline."
"We refunded %1 online.","È stato rimborsato %1 online."
"We refunded %1 offline.","È stato rimborsato %1 offline."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2""","IPN ""Rimborsato"". Rimborso predisposto dal venditore. Registrata notifica di un rimborso di importo pari a %1. Transazione ID: ""%2"""
"The credit memo has been created automatically.","La nota di credito è stata creata automaticamente."
"Registered notification about refunded amount of %1.","Notifica registrata riguarte importo rimborsato di %1."
"Canceled order online","Ordine cancellato online"
"Canceled order offline","Ordine cancellato offline"
"Approved the payment online.","Approva il pagamento online."
"There is no need to approve this payment.","Non è necessario approvare questo pagamento."
"Registered notification about approved payment.","Notifica registrata riguardante pagamento approvato."
"Denied the payment online","Rifiuta pagamento online"
"There is no need to deny this payment.","Non è necessario rifiutare questo pagamento."
"Registered notification about denied payment.","Notifica registrata riguardante pagamento rifiutato."
"Registered update about approved payment.","Aggiornamento riguardante pagamento approvato registrato."
"Registered update about denied payment.","Aggiornamento riguardante pagamento rifiutato registrato."
"There is no update for the payment.","Non c\'è nessun aggiornamento per il pagamento."
"The order amount of %1 is pending approval on the payment gateway.","L\'importo dell\'ordine di %1 è in attesa di approvazione dal gateway di pagamento."
"We will authorize %1 after the payment is approved at the payment gateway.","Sarà autorizzato %1 dopo che il pagamento è stato approvato dal gateway di pagamento."
"Authorized amount of %1","Importo autorizzato di %1"
"Voided authorization.","Autorizzazione annullata."
"Amount: %1.","Importo: %1."
"Transaction ID: ""%1""","ID transazione: ""%1"""
"The parent transaction ID must have a transaction ID.","L\'ID parente della transazione deve avere un ID transazione."
"The transaction ""%1"" (%2) is already closed.","la transazione ""%1"" (%2) è già chiusa."
"Set order for existing transactions not allowed","Imposta ordine per transazione esistenti non consentito."
"At minimum, you need to set a payment ID.","Come minimo devi impostare un ID pagamento."
"We found an unsupported transaction type ""%1"".","È stato trovato un tipo di transazione non supportato ""%1""."
"Please set a proper payment object.","Impostare un oggetto di pagamento appropriato."
"The Transaction ID field cannot be empty.","Il campo ID transazione non può essere vuoto."
"You can't do this without a transaction object.","Non puoi farlo senza un oggetto transazione."
"Sold to:","Venduto a:"
"Ship to:","Spedito a:"
"Shipping Method:","Metodo di spedizione:"
"Total Shipping Charges","Totale costi spedizione"
"We found an invalid renderer model.","Trovato un modello di interpretazione errato."
"Please define the PDF object before using.","Prima di utilizzarlo, definire l\'oggetto PDF."
"We don't recognize the draw line data. Please define the ""lines"" array.","Dati linea disegnati non riconosciuti. Definire le ""linee"" array."
"Total (ex)","Totale (ex)"
"Total (inc)","Totale (inc)"
"Credit Memo # ","Nota di credito #"
"Invoice # ","Fattura #"
"The order object is not specified.","Oggetto ordine non specificato."
"The source object is not specified.","Oggetto sorgente non specificato."
"An item object is not specified.","Oggetto articolo non specificato."
"A PDF object is not specified.","Oggetto PDF non specificato."
"A PDF page object is not specified.","Oggetto pagina PDF non specificato."
"Packing Slip # ","Bolla di accompagnamento #"
"We cannot register an existing shipment","Impossibile registrare una spedizione esistente."
"We cannot create an empty shipment.","Impossibile creare una spedizione vuota."
"We found an invalid qty to ship for item ""%1"".","È stata trovata una qtà non valida da spedire dell\'articolo ""%1""."
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Il modello totla deve essere esteso da \Magento\Sales\Model\Order\Total\AbstractTotal."
"Sorry, but items with payment agreements must be ordered one at a time To continue, please remove or buy the other items in your cart, then order this item by itself.","Ci dispiace, gli articoli con gli accordi di pagamento devono essere ordinati uno alla volta per poter continuare, rimuovi o compra l\'altro articolo nel carrello, poi ordina questo articolo da solo."
"We found an invalid request for adding product to quote.","È stata trovata una richiesta non valida di aggiunta di prodotto al preventivo."
"This is the wrong quote item id to update configuration.","This is the wrong quote item id to update configuration."
"This shipping method is not available. To use this shipping method, please contact us.","Questo metodo di spedizione non è disponibile. Contattaci per utilizzare questo metodo di spedizione."
"The address model is not defined.","Modello indirizzo non definito."
"The address total model should be extended from \Magento\Sales\Model\Quote\Address\Total\AbstractTotal.","Il modello totale dell\'indirizzo deve essere esteso da \Magento\Sales\Model\Quote\Address\Total\AbstractTotal."
"Subscription Items","Iscrizione articoli"
"Regular Payment","Pagamenti regolari"
"Shipping & Handling (%1)","Spedizione e gestione (%1)"
"We found an invalid item option format.","È stato trovato un formato opzione articolo non valido."
"Item qty declaration error","Errore dichiarazione qtà articolo."
"Some of the products below do not have all the required options.","Alcuni dei seguenti prodotti non hanno tutte le opzioni obbligatorie."
"Something went wrong during the item options declaration.","Qualcosa è andato storto durante la dichiarazione opzioni articolo."
"We found an item options declaration error.","È stato riscontrato un errore di dichiarazione opzioni articolo."
"Some of the selected options are not currently available.","Alcune delle opzioni selezionate non sono al momento disponibili."
"Selected option(s) or their combination is not currently available.","Le opzioni selezionate od una loro combinazione non sono al momento disponibili."
"Some item options or their combination are not currently available.","Alcune delle opzioni articolo o una loro combinazione non sono al momento disponibili."
"The requested Payment Method is not available.","Il metodo di pagamento richiesto non è disponibile."
"We cannot determine the field name.","Impossibile determinare il nome del campo."
"Please specify a valid grid column alias name that exists in the grid table.","Specificare un nome alias per la colonna della griglia che esista della tabella della griglia."
"We don't have enough information to save the parent transaction ID.","Non abbiamo abbastanza informazioni per salvare l\'ID transazione parente."
"The last status can't be unassigned from its current state.","L\'ultimo status non può essere disassegnato dal suo stato corrente."
"Please check the shipping address information. %1","Controlla le informazioni riguardanti l\'indirizzo di spedizione. %1"
"Please specify a shipping method.","Specificare un metodo di spedizione."
"Please check the billing address information. %1","Controllare le informazioni riguardanti l\'indirizzo di fatturazione. %1"
"Please select a valid payment method.","Selezionare un metodo di pagamento valido."
"Pending Payment","Pagamento in attesa."
"On Hold","In attesa"
"Complete","Completo"
"Suspected Fraud","Sospettata frode"
"Payment Review","Rivedi pagamento"
"Changing address information will not recalculate shipping, tax or other order amount.","La modifica delle informazioni riguardanti l\'indirizzo non porterà ad un nuovo calcolo delle spese di spedizione, tasse o dell\'importo dell\'ordine."
"Order Comments","Commenti ordine"
"Order Currency:","Valuta ordine:"
"Select from existing customer addresses:","Seleziona dagli indirizzi del cliente esistenti:"
"Same As Billing Address","Uguale all'indirizzo di fatturazione"
"You don't need to select a shipping address.","Non è necessario che tu selezioni un indirizzo di spedizione."
"Gift Message for the Entire Order","Messaggio regalo per l\'intero ordine."
"Move to Shopping Cart","Sposta nel carrello"
"Subscribe to Newsletter","Iscrivi alla newsletter"
"Click to change shipping method","Clicca per cambiare il metodo di spedizione"
"Sorry, no quotes are available for this order.","Nessun preventivo disponibile per questo ordine."
"Get shipping methods and rates","Ottieni tariffe e metodi di spedizione."
"You don't need to select a shipping method.","Non è necessario che tu selezioni un metodo di spedizione."
"Customer's Activities","Attività cliente"
"Append Comments","Aggiungere commenti"
"Email Order Confirmation","Email di conferma dell'ordine"
"Grand Total Excl. Tax","Totale tasse escluse"
"Grand Total Incl. Tax","Totale tasse incluse"
"Subtotal (Excl. Tax)","Subtotale (tasse escluse)"
"Subtotal (Incl. Tax)","Subtotale (tasse incluse)"
"The order was placed using %1.","L\'ordine è stato effettuato utilizzando %1."
"Items to Refund","Articoli da rimborsare"
"Return to Stock","Rimetti nell\'inventario"
"Qty to Refund","Qtà da rimborsare"
"Row Total","Totale di riga"
"No Items To Refund","Nessun articolo da rimborsare"
"Credit Memo Comments","Commenti nota di credito"
"Refund Totals","Totale rimborso"
"Email Copy of Credit Memo","Email con la copia della nota di credito"
"Please enter a positive number in this field.","Inserire un numero positivo in questo campo."
"Items Refunded","Articoli rimborsati"
"No Items","Nessun articolo"
"Credit Memo History","Cronologia nota di credito"
"Credit Memo Totals","Totali nota di credito"
"Create Shipment","Crea spedizione"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Tipo fattura e spedizione non coincidono per alcuni articoli in questo ordine. Puoi creare una spedizione solo dopo aver creato la fattura."
