"All","Tutto"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","Per uso interno. Deve essere unico e senza spazi. La lunghezza massima per il codice attributo deve essere minore di %1 caratteri"
"Default Value","Valore predefinito"
"Unique Value","Valore unico"
"Unique Value (not shared with other products)","Valore unico (non condiviso con gli altri prodotti)"
"Not shared with other products","Non condiviso con gli altri prodotti"
"Input Validation for Store Owner","Convalida input per il proprietario del negozio"
"Global","Globale"
"Scope","Ambito"
"Declare attribute value saving scope","Dichiarare valore ambito salvataggio attributo"
"Frontend Properties","Proprietà del frontend"
"Use in Quick Search","Usa nella ricerca veloce"
"Use in Advanced Search","Usa nella ricerca avanzata"
"Comparable on Frontend","Comparabile nel frontend"
"Use for Promo Rule Conditions","Utilizzare per le condizioni delle regole promozionali"
"Enable WYSIWYG","Abilita WYSIWYG"
"Allow HTML Tags on Frontend","Consenti tag HTML nel Frontend"
"Visible on Catalog Pages on Frontend","Visibile nelle pagine del catalgo nel frontend"
"Used in Product Listing","Utilizzato nell\'elenco prodotti"
"Depends on design theme","Dipende dal tema di design"
"Used for Sorting in Product Listing","Utilizzato per ordinare nella lista prodotti"
"Media Image","Immagine Media"
"Gallery","Galleria"
"System Properties","Proprietà di sistema"
"Data Type for Saving in Database","Tipo dati per salvataggio nel database"
"Text","Testo"
"Varchar","Varchar"
"Static","Statico"
"Datetime","Datetime"
"Decimal","Decimale"
"Integer","Intero"
"Globally Editable","Modificabile globalmente"
"Attribute Information","Informazioni attributo"
"Properties","Proprietà"
"Manage Labels","Gestisci etichette"
"Visible","Visibile"
"Searchable","Ricercabile"
"Comparable","Comparabile"
"Delete Selected Group","Elimina gruppi selezionati"
"Delete Attribute Set","Elimina set attributi"
"You are about to delete all products in this set. ' 'Are you sure you want to delete this attribute set?","Stai per eliminare tutti i prodotti in questo set. ' 'Sei sicuro di voler eliminare questo set di attributi?"
"Save Attribute Set","Salva set di attributi"
"New Set Name","Nome nuovo set"
"Edit Attribute Set '%1'","Modifica set di attributi '%1'"
"Empty","Vuoto"
"Add Attribute","Aggiungi attributo"
"Add New Group","Aggiungi nuovo gruppo"
"Add Group","Aggiungi gruppo"
"Edit Set Name","Modifica nome set"
"For internal use","Per uso interno"
"Based On","Basato su"
"Add New Attribute Set","Aggiungi un nuovo set di attributi"
"Add New Set","Aggiungi nuovo set"
"Product Templates","Template prodotto"
"Close Window","Chiudi finestra"
"New Product","Nuovo prodotto"
"Save & Edit","Salva & Modifica"
"Save & New","Salva & nuovo"
"Save & Duplicate","Salva & duplica"
"Save & Close","Salva & chiudi"
"Attributes","Attributi"
"Change","Modifica"
"Advanced Inventory","Inventario avanzato"
"Websites","Siti web"
"Products Information","Informazioni prodotti"
"Category Name","Nome categoria"
"Parent Category","Categoria parente"
"If there are no custom parent categories, please use the default parent category. ' 'You can reassign the category at any time in ' '<a href=""%1"" target=""_blank"">Products > Categories</a>.","Se non ci sono categorie parente personalizzate, utilizzare la categoria parente predefinita. ' 'Puoi riassegnare la categoria in ogni momento in ' '<a href=""%1"" target=""_blank"">Prodotti > Categorie</a>."
"We saved the price alert subscription.","La sottoscrizione per l'avviso prodotto è stata salvata."
"We saved the stock notification.","Notifica disponibilità salvata."
"There are no customers for this alert.","Non ci sono clienti per questo avviso."
"Subscribe Date","Data iscrizione"
"Last Notified","Ultima notifica"
"Send Count","Invia totale"
"New Attribute","Nuovo attributo"
"Attribute Set","Set attributi"
"Add New Option","Aggiungi nuova opzione"
"Import Options","Importa opzioni"
"Import","Importa"
"Add New Row","Aggiungi nuova riga"
"Delete Row","Elimina riga"
"Tier Pricing","Fascia di prezzo"
"Default Price","Prezzo predefinito"
"Add Group Price","Aggiungi prezzo di gruppo"
"ALL GROUPS","TUTTI I GRUPPI"
"Add Tier","Aggiungi fascia"
"Default Values","Valori predefiniti"
"Related Products","Prodotti correlati"
"Up-sells","Prodotti alternativi"
"Cross-sells","Prodotti consigliati"
"Size for %1","Dimensione per %1"
"Watermark File for %1","File Watermark per %1"
"Position of Watermark for %1","Posizione del Watermark per %1"
"Name in %1","Nome in %1"
"Notify Low Stock RSS","Notifica RSS per scorte in esaurimento"
"Change status","Cambia status"
"Update Attributes","Aggiorna attributi"
"Click here or drag and drop to add images","Premi qui o trascina e rilascia per aggiungere immagini"
"Delete image","Elimina immagine"
"Make Base","Rendi Base"
"Hidden","Nascosto"
"Image Management","Gestione immagine"
"start typing to search category","Inizia a digitare per cercare la categoria"
"New Category","Nuova categoria"
"Add New Images","Aggiungi nuove immagini"
"Inc. Tax","Tasse incluse"
"lbs","kg"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"Save Search","Salva ricerca"
"Delete Search","Elimina ricerca"
"Edit Search '%1'","Modifica ricerca '%1'"
"New Search","Nuova ricerca"
"Search Information","Cerca informazioni"
"Search Query","Query di ricerca"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (dall\'ultimo piazzato)"
"For the last time placed.","Per l'ultima volta inserito."
"Number of Uses","Numero utilizzi"
"Synonym For","Sinonimo di"
"Will make search for the query above return results for this search","La ricerca sarà sulla query sopra indicata e i risultati saranno di questa ricerca"
"Redirect URL","Reindirizzamento URL"
"ex. http://domain.com","es. http://domain.com"
"Display in Suggested Terms","Mostra nei termini suggeriti"
"Go to Home Page","Vai alla Home Page"
"%1 RSS Feed","%1 RSS Feed"
"Products Comparison List","Lista comparativa prodotti"
"AM","AM"
"PM","PM"
"Categories","Categorie"
"Manage Catalog Categories","Gestisci categorie catalogo"
"Manage Categories","Gestisci categorie"
"Attribute ""%1"" is required.","L\'attributo ""%1"" è obbligatorio."
"Unable to save the category","Impossibile salvare la categoria."
"You saved the category.","La categoria è stata salvata."
"There was a category move error.","C\'è stato un errore nello spostamento della categoria."
"There was a category move error %1","C\'è stato un errore nello spostamento della categoria %1"
"You deleted the category.","La categoria è stata eliminata."
"Something went wrong while trying to delete the category.","Qualcosa è andato storto nella fase di eliminazione della categoria."
"This product no longer exists.","Questo prodotto non esiste più."
"Unable to save product","Impossibile salvare il prodotto."
"You saved the product.","Il prodotto è stato salvato."
"SKU for product %1 has been changed to %2.","SKU per il prodotto %1 è stato modificato in %2."
"You duplicated the product.","Il prodotto è stato duplicato."
"Please select product(s).","Selezionare prodotto/i."
"A total of %1 record(s) have been deleted.","Un totale di %1 risultati è stato eliminato."
"A total of %1 record(s) have been updated.","Un totale di %1 risultati è stato aggiornato."
"Something went wrong while updating the product(s) status.","Qualcosa è andato storto durante la fase di aggiornamento dello status prodotti."
"Please make sure to define SKU values for all processed products.","Assicurarsi di definire il valore di SKU per tutti i prodotti processati."
"A total of %1 record(s) were updated.","Un totale di %1 risultati è stato aggiornato."
"Something went wrong while updating the product(s) attributes.","Qualcosa è andato storto durante la fase di aggiornamento degli attributi prodotto."
"Please select products for attributes update.","Selezionare i prodotti per l\'aggiornamento attributi."
"Manage Product Attributes","Gestisci attributi prodotto"
"This attribute no longer exists.","Questo attributo non esiste più"
"This attribute cannot be edited.","Questo attributo non può essere modificato."
"Edit Product Attribute","Modifica attributo prodotto"
"An attribute with this code already exists.","Un attributo con questo codice esiste già."
"Attribute with the same code (%1) already exists.","Un attributo con lo stesso codice (%1) esiste già."
"Attribute Set with name '%1' already exists.","Un set di attributi con il nome '%1' esiste già."
"Something went wrong saving the attribute.","Qualcosa è andato storto durante il salvataggio di questo attributo."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), ' 'numbers (0-9) or underscore(_) in this field, first character should be a letter.","Il codice attributo ""%1"" non + valido. Utilizzare solo lettere (a-z), ' 'numeri (0-9) o underscore(_) in questo campo, il primo carattere deve essere una lettera."
"You can't update your attribute.","Non puoi aggiornare l\'attributo."
"You saved the product attribute.","L\'attributo prodotto è stato salvato."
"This attribute cannot be deleted.","Questo attributo non può essere eliminato."
"The product attribute has been deleted.","Questo attributo prodotto è stato eliminato."
"We can't find an attribute to delete.","Non è possibile trovare l\'attributo da eliminare."
"A group with the same name already exists.","Un gruppo con lo stesso nome esiste già."
"Something went wrong while saving this group.","Qualcosa è andato storto durante il salvataggio di questo gruppo."
"Manage Attribute Sets","Gestisci set attributi"
"New Set","Nuovo set"
"Manage Product Sets","Gestisce set prodotti"
"This attribute set no longer exists.","Questo set di attributi non esiste più."
"You saved the attribute set.","Il set di attributi è stato salvato."
"An error occurred while saving the attribute set.","Si è verificato un errore durante il salvataggio del set di attributi."
"New Product Template","Template nuovo prodotto"
"The attribute set has been removed.","Il set di attributi è stato rimosso."
"An error occurred while deleting this set.","Si è verificato un errore durante l\'eliminazione di questo set."
"Search Terms","Termini di ricerca"
"This search no longer exists.","Questa ricerca non esiste più."
"Edit Search","Modifica ricerca"
"You already have an identical search term query.","Hai una query con termini di ricerca identici."
"Something went wrong while saving the search query.","Qualcosa è andato storto durante il salvataggio della query dei termini di ricerca."
"You deleted the search.","La ricerca è stata eliminata."
"We can't find a search term to delete.","Non è possibile trovare termini di ricerca da eliminare."
"Please select catalog searches.","Selezionare le ricerche del catalogo."
"Total of %1 record(s) were deleted","Un totale di %1 risultati è stato eliminato"
"You added product %1 to the comparison list.","Hai aggiunto il prodotto %1 alla lista di comparazione."
"You removed product %1 from the comparison list.","Il prodotto %1 è stato rimosso dalla lista di comparazione."
"You cleared the comparison list.","La lista di comparazione è stata svuotata."
"Something went wrong  clearing the comparison list.","Qualcosa è andato storto durante il salvataggio della lista di comparazione."
"To see product price, add this item to your cart. You can always remove it later.","Per visualizzare il prezzo del prodotto, aggiungi questo articolo al tuo carrello. Lo potrai sempre rimuovere successivamente."
"See price before order confirmation.","Vedi prezzo prima di confermare l\'ordine."
"The product is not loaded.","Il prodotto non è stato caricato."
"Invalid attribute %1","Attributo non valido %1"
"Grid","Griglia"
"List","Lista"
"Product is not loaded","Il prodotto non è stato caricato"
"Bad controller interface for showing product","Cattiva interfaccia di controllo che mostra il prodotto"
"Sorry, but we can't move the category because we can't find the new parent category you selected.","Impossibile spostare la categoria perché non è possibile trovare la nuova categoria parente selezionata."
"Sorry, but we can't move the category because we can't find the new category you selected.","Impossibile spostare la categoria perché non è possibile trovare la nuova categoria selezionata."
"We can't perform this category move operation because the parent category matches the child category.","Impossibile spostare la categoria perché la categoria parente coincide con la categoria figlia "
"The value of attribute ""%1"" must be unique.","Il valore dell\'attributo ""%1"" deve essere univoco."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Mostra lista prodotti ordinata per predefinito non esiste tra i mostra lista prodotti ordinata per disponibili."
"No layout updates","Non ci sono aggiornamenti layout"
"Products only","Solo prodotti"
"Static block only","Solo blocco statico"
"Static block and products","Prodotti e blocco statico"
"Please select a static block.","Selezionare un blocco statico."
"frontend_label","frontend_label"
"-- Please Select a Category --","-- selezionare una categoria --"
"Grid Only","Solo griglia"
"List Only","Solo lista"
"Grid (default) / List","Griglia (predefinito) / Lista"
"List (default) / Grid","Lista (predefinito) / Griglia"
"Automatic (equalize price ranges)","Automatico (equilibra intervalli di prezzo)"
"Automatic (equalize product counts)","Automatico (equilibra conteggio prodotti)"
"Manual","Manuale"
"-- Please select --","-- selezionare --"
"Product Thumbnail Itself","Thumbnail del prodotto"
"Parent Product Thumbnail","Thumbnail del prodotto parente"
"12h AM/PM","12h AM/PM"
"24h","24h"
"Stretch","Estesa"
"Tile","Ripetuta"
"Top/Left","Alto/Sinistra"
"Top/Right","Alto/Destra"
"Bottom/Left","Basso/sinistra"
"Bottom/Right","Basso/destra"
"Center","Centro"
"Could not rebuild index for undefined product","Impossibile ricostruire indice per prodotti non definiti."
"Bad value was supplied.","Fornito valore non valido."
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes."" ""Currently there are %1\$d of them."" ""Please reduce the number of filterable/sortable attributes in order to use this module","Il module del catalogo Flat ha un limite di %2\$d attributi filtrabili e/o ordinabili."" ""Attualmente ce ne sono %1\$d ."" ""Riduci il numero di attributi filtrabili/ordinabili per essere in grado di utilizzare questo modulo"
"Unsupported product type ""%1"".","Tipo prodotto non supportato ""%1""."
"Index product and categories URL Rewrites","ULR rewrite indice prodotti e catagorie"
"The category must be an instance of \Magento\Catalog\Model\Category.","La categoria deve essere un\'istanza di \Magento\Catalog\Model\Category."
"Please correct the category.","Correggere la categoria."
"The attribute model is not defined.","Il modello dell\'attributo non è definito"
"Category","Categoria"
"%1 - %2","%1 - %2"
"The filter must be an object. Please set correct filter.","Il filtro deve essere un oggetto. Impostare il filtro corretto."
"%1 and above","%1 e superiore"
"Clear Price","Pulisci prezzo"
"The filters must be an array.","Il filtro deve essere un array."
"We found a duplicate website group price customer group.","È stato trovato un sito web con gruppo cliente e gruppo prezzo duplicato."
"Group price must be a number greater than 0.","Gruppo prezzo deve essere un valore maggiore di 0."
"The image does not exist.","L\'immagine non esiste."
"Please correct the image file type.","Correggere il tipo file dell\'immagine."
"We couldn't move this file: %1.","Impossibile spostare questo file: %1."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Impossibile copiare il file %1. Cancellare i media con immagini inesistenti e riprovare."
"Please enter a number 0 or greater in this field.","Inserire un numero uguale o maggiore a 0 in questo campo."
"The value of attribute ""%1"" must be set","Il valore dell\'attributo ""%1"" deve essere impostato"
"SKU length should be %1 characters maximum.","La lunghezza massima dello SKU deve essere di %1 caratteri."
"The From Date value should be less than or equal to the To Date value.","Il valore di partenza della data deve essere uguale o maggiore del valore finale."
"We found a duplicate website, tier price, customer group and quantity.","È stato trovato un duplicato del sito web, fasce di prezzo, gruppi cliente e quantitià."
"Use config","Usa configurazione"
"In Cart","Nel carrello"
"Before Order Confirmation","Prima della conferma dell\'ordine"
"On Gesture","On Gesture"
"We can't find the image file.","Non è possibile trovare il file immagine."
"Index product attributes for layered navigation building","Indice attributi prodotti per la costruzione della navigazione a livelli"
"The option type to get group instance is incorrect.","Il tipo di opzione per ottenere l\'istanza del gruppo non è corretta."
"Select type options required values rows.","Selezionare tipo opzioni richiede righe valori"
"Please specify date required option(s).","Specificare data opzione richiesta."
"Please specify time required option(s).","Specificare ora opzione richiesta."
"Please specify the product's required option(s).","Specificare le opzioni richieste del prodotto."
"The option instance type in options group is incorrect.","Il tipo di opzione dell\'istanza nelle opzioni di gruppo non è corretta."
"The product instance type in options group is incorrect.","Il tipo di istanza prodotto nel gruppo di opzioni non è corretto."
"The configuration item option instance in options group is incorrect.","L\'opzione dell\'istanza di configurazione articolo nelle opzioni di gruppo non è corretta."
"The configuration item instance in options group is incorrect.","L\'istanza di configurazione articolo nelle opzioni di gruppo non è corretta."
"The BuyRequest instance in options group is incorrect.","L\'istanza BuyRequest nelle opzioni di gruppo non è corretta."
"We couldn't add the product to the cart because of an option validation issue.","Non è possibile aggiungere il prodotto al carrello a causa di un problema con la convalida di un\'opzione."
"The file you uploaded is larger than %1 Megabytes allowed by server","Il file caricato è più grande dei %1 Megabytes permessi dal server"
"The file '%1' for '%2' has an invalid extension.","Il file '%1' per '%2' ha un\'estensione non valida."
"Maximum allowed image size for '%1' is %2x%3 px.","La dimensione massima ammessa dell\'immagine per '%1' è %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Il file '%1' caricato è più grande dei %2 megabytes consentiti dal server."
"px.","px."
"The file options format is not valid.","Il formato del file opzioni non è valido."
"Some of the selected item options are not currently available.","Alcune delle opzioni prodotto selezionate non sono al momento disponibili."
"The text is too long.","Il testo è troppo lungo."
"We can't create writeable directory ""%1"".","Non è possibile creare una directory con i permessi di scrittura ""%1""."
"The file upload failed.","Caricamento file fallito."
"The product has required options.","Il prodotto ha delle opzioni obbligatorie."
"Something went wrong while processing the request.","Qualcosa è andato storto durante l\'elaborazione della richiesta."
"Not Visible Individually","Non visibile individualmente."
"Catalog, Search","Catalogo, ricerca"
"Something went wrong removing products from the websites.","Qualcosa è andato storto durante la rimozione dei prodotti dal sito web."
"Something went wrong adding products to websites.","Qualcosa è andato storto durante l\'aggiunta di prodotti al sito web."
"Attribute '%1' is locked. ","L\'attributo '%1' è bloccato. "
"Do not change the scope. ","Non cambiare l\'ambito."
"We found an unknown EAV indexer type ""%1"".","È stato trovato un tipo di indicizzatore EAV sconosciuto ""%1""."
"A product type is not defined for the indexer.","Un tipo prodotto non è definito per l\'indicizzatore. "
"Something went wrong saving the URL rewite.","Qualcosa è andato storto durante il salvataggio dell\'URL rewrite."
"Multiple Select","Selezione multipla"
"Dropdown","A tendina"
"Please specify either a category or a product, or both.","Specificare se categoria o prodotto o entrambi."
"A category object is required for determining the product request path.","Un oggetto categoria è obbligatorio per determinare il percorso della richiesta prodotto."
"As low as:","A partire da:"
"Are you sure you want to delete this category?","Sei sicuro di voler eliminare questa categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Impostare la categoria di root per questo negozio in <a href=""%1"">configurazione</a>."
"Collapse All","Comprimi tutto"
"Expand All","Espandi tutto"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confermare il cambio di sito. Tutti i dati non salvati andranno persi."
"Manage Titles (Size, Color, etc.)","Gestisci titoli (Taglia, Colore, etc.)"
"Manage Options (values of your attribute)","Gestisci opzioni (Valori del tuo attributo)"
"Is Default","Predefinito"
"Add Option","Aggiungi opzione"
"Sort Option","Ordina opzioni"
"Groups","Gruppi"
"Double click on a group to rename it","Doppio click su un gruppo per rinominarlo"
"Unassigned Attributes","Attributi non assegnati"
"A name is required.","Il nome è obbligatorio."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo contiene attributi di sistema. Spostare gli attributi di sistema in un altro gruppo e riprovare."
"Please enter a new group name.","Inserire un nuovo nome gruppo."
"An attribute group named ""/name/"" already exists"".","Un gruppo di attributi chiamato ""/name/"" esiste già""."
"We're unable to complete this request.","Impossibile completare questa richiesta."
"You cannot remove system attributes from this set.","Non è possibile rimuovere gli attributi di sistema da questo set."
"Custom Options","Opzioni personalizzate."
"This is a required option.","Questa è un\'opzione obbligatoria."
"Field is not complete","Il campo non è completo"
"Allowed file extensions to upload","Estensioni file da caricare consentite"
"Maximum image width","Larghezza massima immagini"
"Maximum image height","Altezza massima immagini"
"Maximum number of characters:","Numero massimo di caratteri:"
"Product online","Prodotto online"
"Product offline","Prodotto offline"
"Product online status","Status prodotto online"
"Manage Stock","Gestisci scorte"
"Minimum Qty for Item's Status to be Out of Stock","Qtà minima articolo per essere non disponibile"
"Minimum Qty Allowed in Shopping Cart","Qtà minima ammessa nel carrello"
"Maximum Qty Allowed in Shopping Cart","Qtà massima ammessa nel carrello"
"Qty Uses Decimals","Qtà utilizza i decimali"
"Backorders","Backorders"
"Notify for Quantity Below","Avvisa per quantità inferiore a"
"Enable Qty Increments","Abilita incrementi qtà"
"Qty Increments","Incrementi qtà"
"Stock Availability","Disponibilità scorte"
"In Stock","Disponibile"
"Out of Stock","Non disponibile"
"Add Product To Websites","Aggiungi il prodotto ai siti web"
"Remove Product From Websites","Rimuovi il prodotto dai siti web"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non vuoi che vengano mostrati nel catalogo o nei risultati di ricerca devono essere nello status 'Disabilitato' nel negozio a cui ci si riferisce."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","I prodotti bundle con prezzo dinamico non possono includere opzioni personalizzate. Le opzioni non saranno salvate."
"Delete Custom Option","Elimina opzioni personalizzate"
"Sort Custom Options","Ordina opzioni personalizzate"
"Allowed File Extensions","Estensioni file permesse"
"Maximum Image Size","Dimensione massima immagine"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Lasciare vuoto se non è un\'immagine."
"Sort Custom Option","Ordina opzioni personalizzate"
"Max Characters","Numero massimo caratteri"
"Customer Group","Gruppo cliente"
"Delete Group Price","Elimina prezzo di gruppo"
"Item Price","Prezzo articolo"
"and above","e superiore"
"Delete Tier","Cancella fascia"
"Product In Websites","Prodotto nei siti web"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non vuoi che vengano mostrati nel catalogo o nei risultati di ricerca devono essere nello status 'Disabilitato' nel negozio a cui ci si riferisce."
"(Copy data from: %1)","(Copia dati da: %1)"
"Remove Image","Rimuovi immagine"
"Alt Text","Testo alternativo"
"Role","Ruolo"
"Hide from Product Page","Nascondi dalla pagina prodotto"
"Close panel","Chiudi pannello"
"Regular Price:","Prezzo:"
"Special Price:","Prezzo speciale:"
"Product Alerts","Avvisi prodotto:"
"Qty for Item's Status to Become Out of Stock","Qtà minima perché l\'articolo diventi non disponibile"
"Can be Divided into Multiple Boxes for Shipping","Può essere diviso in più scatole per la spedizione"
"Basic Settings","Impostazioni di base"
"Advanced Settings","Impostazioni avanzate"
"Select Product Actions","Seleziona azioni prodotto"
"Price as configured:","Prezzo come configurato:"
"Click for price","Clicca per il prezzo"
"What's this?","Cos'è questo?"
"Buy %1 for: ","Compra %1 per: "
"Buy %1 for %2","Compra %1 per %2"
"each","ognuno"
"and","e superiore"
"save","Salva"
"Actual Price","Prezzo attuale"
"Shop By","Acquista per"
"Shopping Options","Opzioni di acquisto"
"Compare Products","Compara prodotti"
"1 item","1 articolo"
"%1 items","%1 articoli"
"Print This Page","Stampa questa pagina"
"Remove Product","Rimuovi questo prodotto"
"Add to Wishlist","Aggiungi alla lista dei desideri"
"You have no items to compare.","Non ci sono articoli da comparare"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler eliminare questo articolo dalla lista di comparazione dei prodotti?"
"Are you sure you would like to remove all products from your comparison?","Sei sicuro di voler eliminare tutti i prodotti dalla lista di comparazione?"
"Remove This Item","Rimuovi questo articolo"
"Compare","Compara"
"Clear All","Cancella tutto"
"Prev","Precedente"
"There are no products matching the selection.","Non ci sono prodotti corrispondenti"
"Add to Compare","Aggiungi al confronto"
"Learn More","Per saperne di più"
"You may also be interested in the following product(s)","Potresti essere interessato nei seguenti prodotti"
"More Choices:","Più scelte:"
"New Products","Nuovi prodotti"
"Check items to add to the cart or","Seleziona articoli da aggiungere al carrello o"
"select all","Seleziona tutto"
"View as","Visualizza come"
"Sort By","Ordinamento"
"Set Ascending Direction","Imposta ordine ascendente"
"Set Descending Direction","Imposta ordine discendente"
"Items %1-%2 of %3","Articoli %1-%2 di %3"
"%1 Item","%1 articolo"
"%1 Item(s)","%1 articoli"
"Show","Mostra"
"Additional Information","Informazioni aggiuntivi"
"More Views","Altre viste"
"Click on image to view it full sized","Clicca sull\'immagine per vederla alle dimensioni reali"
"Click on image to zoom","Clicca sull\'immagine per zoomare"
"Email to a Friend","Invia ad un amico"
"Details","Dettagli"
"Template","Template"
"File extension not known or unsupported type.","Estensione file sconosciuta o non supportata."
"Configure Product","Configura prodotto"
"Select type of option.","Seleziona tipo opzione."
"Please add rows to option.","Aggiungere righe all\'opzione."
"Select Product","Seleziona prodotto"
"Choose existing category.","Scegliere una categoria esistente."
"Create Category","Crea categoria"
"unselect all","Deseleziona tutto"
"Maximal Depth","Profondità massima"
"Anchor Custom Text","Ancora testo personalizzato"
"Anchor Custom Title","Ancora titolo personalizzato"
"Product Fields Auto-Generation","Autogenerazione campi prodotto"
"Mask for SKU","Maschera per SKU"
"Use {{name}} as Product Name placeholder","Utilizza {{name}} come segnaposto per il nome prodotto"
"Mask for Meta Title","Maschera per Meta title"
"Mask for Meta Keywords","Maschera per Meta keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utilizza {{name}} come segnaposto per il nome o {{sku}} per lo SKU del prodotto"
"Mask for Meta Description","Maschera per Meta description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utilizza {{name}} e {{description}} come segnaposto per il nome prodotto e per la descrizione prodotto"
"Frontend","Frontend"
"List Mode","Modalità lista"
"Products per Page on Grid Allowed Values","Valori consentiti del numero di prodotti per pagina nella modalità griglia"
"Comma-separated.","Separati da virgola."
"Products per Page on Grid Default Value","Valore predefinito per il numero di prodotti per pagina nella modalità a griglia"
"Must be in the allowed values list","Deve essere nella lista dei valori consentiti"
"Products per Page on List Allowed Values","Valori consentiti del numero di prodotti per pagina nella modalità lista"
