"Remove","Rimuovi"
"Please enter values for height and width.' ' Use the chain icon if you want height and width to match.' ' Be sure to see how it looks in your store.' ' You may need to update your custom CSS file.","Inserire i valore per l\'altezza e la larghezza.' ' Usa l\'icona catena se vuoi che altezza e larghezza corrispondano.' 'Assicurati di verificare come appaiono nel tuo negozio.' ' Potresti dover aggiornare i tuoi file CSS personalizzati."
"Update","Aggiorna"
"Add white borders to images that are smaller than the container.","Aggiungi bordi bianchi alle immagini che sono più piccole del contenitore."
"If an image is too big,' '  we automatically make it smaller and add white borders to fill the container.","Se un\'immagine è troppo grande,' '  la ridurremo automaticamente e aggiungeremo bordi bianchi per riempire il contenitore."
"Reset to Original","Reimposta all\'originale"
"Select JS Files to Upload","Seleziona file JS da caricare"
"These JavaScript files may change the appearance of your live store(s).' ' Are you sure you want to do this?","Questi file JavaScript potrebbero modificare come appare il tuo negozio/i.' ' Sei sicuro di volerlo fare?"
"Are you sure you want to delete this JavaScript file?' ' The changes to your theme will not be reversible.","Sei sicuro di voler eliminare questo file JavaScript?' ' Le modifiche al tuo tema non saranno reversibili."
"Custom javascript files","File javascript personalizzati"
"CSS Editor ","CSS Editor "
"Header","Header"
"Backgrounds","Sfondi"
"Buttons & Icons","Pulsanti & icone"
"Tips & Messages","Consigli & messaggi"
"Fonts","Fonts"
"We found an invalid block of class ""%1"". Please define the required properties.","Un blocco non valido della classe ""%1"" è stato trovato. Definire le proprietà richieste."
"Duplicate","Duplicare"
"You chose a new theme for your live store. Click ""OK"" to replace your current theme.","Hai scelto un nuovo tema per il tuo negozio. Premere ""OK"" per sostituire il tema corrente."
"You chose a theme for your new store. Click ""OK"" to go live. You can always modify or switch themes in ""My Customizations"" and ""Available Themes.""","Hai scelto un tema per il tuo nuovo negozio. Premi ""OK"" per metterlo in funzione. Puoi sempre modificare o cambiare temi in ""Le mie personalizzazioni"" e ""Temi disponibili."""
"Assign to a Store View","Assegna ad una vista negozio"
"Assign New Theme","Assegna nuovo tema"
"Themes Assigned to Store Views","Temi assegnasti alle viste negozio"
"Available Themes","Temi disponibili"
"Themes Not Assigned to Store Views","Temi non assegnati alle viste negozio"
"Are you sure you want to delete this theme?","Sei sicuro di voler eliminare questo tema?"
"Delete %1 Theme","Elimina tema %1"
"My Customizations","Le mie personalizzazioni"
"Sorry, but we can't load the theme list.","Impossibile caricare la lista temi."
"Sorry, there was an unknown error.","Si è verificato un errore sconosciuto."
"You assigned a new theme to your store view.","Hai assegnato un nuovo tema alla tua vista negozio"
"You assigned a theme to your live store.","Hai assegnato un tema al tuo negozio."
"This theme is not assigned.","Questo tema non è assegnato."
"Sorry, but you can't edit theme ""%1"".","Impossibile modificare il tema ""%1""."
"This theme is not saved.","Questo tema non è stato salvato."
"You updated your live store.","Hai aggiornato il tuo negozio."
"You saved updates to this theme.","Hai salvato gli aggiornamenti a questo tema."
"Copy of [%1]","Copia di [%1]"
"You saved a duplicate copy of this theme in ""My Customizations.""","Hai salvato una duplicato di questo tema in ""Le mie personalizzazioni"""
"You cannot duplicate this theme.","Non puoi duplicare questo tema."
"Theme ""%1"" is not editable.","Il tema ""%1"" non è modificabile."
"Theme ""%1"" reverted to last saved state","Il tema ""%1"" è stato riportato al salvataggio più recente"
"Theme ""%1"" reverted to last default state","Il tema ""%1"" è stato riportato al più recente stato predefinito"
"Unknown error","Errore sconosciuto"
"We can't find this theme.","Impossibile trovare il tema."
"We can't load the list of themes.","Impossibile caricare la lista temi."
"You updated the custom.css file.","Hai aggiornato il file custom.css."
"We cannot upload the CSS file.","Impossibile aggiornare il file CSS."
"You updated the %1 file.","Hai aggiornato il file %1."
"We can't save the custom css file.","Non è possibile salvare il file CSS personalizzato."
"We cannot upload the JS file.","Impossibile caricare il file JS."
"We saved the image sizes.","Dimensioni immagine salvate."
"We can't save image sizes.","Impossibile salvare dimensioni immagine."
"Something went wrong uploading the image.' ' Please check the file format and try again (JPEG, GIF, or PNG).","Qualcosa è andato storto durante l\'upload delle immagini.' ' Controllare il formato file e riprovare (JPEG, GIF, or PNG)."
"The file can't be found or edited.","Il file non può essere trovato o modificato."
"This theme is not assigned to a store view #%1.","Questo tema non è assegnato ad una vista negozio #%1."
"Sorry, but you cannot edit these theme styles.","Non è possibile modificare questi stili del tema."
"We can't find theme ""%1"".","Impossibile trovare il tema ""%1""."
"Wrong theme type set as editable","Tipo tema impostato come modificabile errato"
"Theme has not been set","Il tema non è stato impostato"
"Upload an Image","Carica un\'immagine"
"Please assign this theme to a store view and upload your store logo.","Assegna questo tema ad una vista negozio e carica il logo del negozio."
"Upload a Logo","Carica un logo"
"Close Panel","Chiudi pannello"
"Page Text","Testo pagina"
"Variable Text","Testo variabile."
"Alternative Text","Testo alternativo"
"Toggle Page Text","Testo pagina toogle"
"(Hold down button for options)","(Tieni premuto il pulsante per le opzioni)"
"Edit Text","Modifica testo"
"Close Message","Chiudi messaggio"
"Update the CSS code to overwrite the default styles or upload your own CSS file.","Aggiorna il codice CSS per sovrascrivere gli stili predefiniti o carica il tuo file CSS."
"Upload File","Carica file"
"Upload Custom CSS","Carica CSS personalizzato"
"Download File","Scarica file"
"Image Assets","Risorse immagine"
"Font Assets","Risorse font"
"Add Files","Aggiungi file"
"Drag and drop files to reorder them.","Trascina e rilascia i file per riordinarli."
"We found no javascript files.","Non sono stati trovati file javascript."
"Files Uploaded","File caricati"
"Insert file","Inserisci file"
"Delete file","Elimina file"
"Browse Files","Sfoglia file"
"Upload Files","Carica file"
"Create Folder","Crea cartella"
"Edit Theme Name","Modifica nome tema"
"Assigned to: ","Assegnato a:"
"There are no customized themes.","Non ci sono temi personalizzati."
"Choose the store views you want to update.","Scegliere la vista negozio che vuoi aggiornare."
"Edit Theme","Modifica tema."
"When you edit a theme, we save it as a unique version in ""My Customizations.""","Quando modifichi un tema esso viene salvato come una versione unica in “Le mie personalizzazioni”."
"Something went wrong while loading the theme.","Qualcosa è andato storto durante il caricamento del tema."
"We don't recognize or support this file extension type.","Estensione file non riconosciuta o non supportata."
"No stores were reassigned.","Nessun negozio è stato riassegnato."
"Assign theme to your live store-view:","Assegna un tema alla tua vista negozio:"
"Default title","Titolo predefinito"
"The URL to assign stores is not defined.","L\'URL per assegnare i negozi non è definito."
"Some problem with revert action","Problemi con l\'azione di ripristino"
"Error: unknown error.","Errore: errore sconosciuto."
"Some problem with save action","Problemi con l\'azione salva"
"Are you sure you want to delete the folder named","Sei sicuro di voler eliminare la cartella"
"We could not detect a size.","Impossibile rilevare una dimensione"
"We don't recognize or support this file extension type.","Estensione file non riconosciuta o non supportata."
