"Custom","Personalizzato"
"Home","Home"
"Add New Image","Aggiungi una nuova immagine"
"Reset Filter","Reset Filtro"
"Search","Cerca"
"Any","Qualsiasi"
"All Countries","Tutti i paesi"
"From","Da"
"To","A"
"Date selector","Selettore data"
"[ deleted ]","[ cancellato ]"
"Select All","Seleziona tutto"
" [deleted]"," [cancellato]"
"We couldn't find any records.","Non è possibile trovare nessun documento."
"Add New","Aggiungi nuovo"
"Export","Export"
"Please correct the column format and try again.","Correggere il formato della colonna e riprovare."
"Please select items.","Selezionare gli articoli."
"Submit","Invia"
"Please correct the tab configuration and try again.","Correggere la configurazione della scheda e riprovare."
"You have logged out.","Ti sei disconnesso."
"Cache Management","Gestione della cache"
"You flushed the cache storage.","Hai svuotato l\'archivio della cache."
"The Magento cache storage has been flushed.","L\'archivio della cache di Magento è stato svuotato."
"%1 cache type(s) enabled.","%1 tipo/i di cache abilitato/i."
"An error occurred while enabling cache.","Si è verificato un errore durante l\'attivazione della cache."
"%1 cache type(s) disabled.","%1 tipo/i di cache disabilitato/i."
"An error occurred while disabling cache.","Si è verificato un errore durante la disabilitazione della cache."
"%1 cache type(s) refreshed.","%1 tipo/i di cache aggiornato/i."
"An error occurred while refreshing cache.","Si è verificato un errore durante l\'aggiornamento della cache."
"Specified cache type(s) don't exist: ","Il tipo(i) di cache specificato non esiste: "
"The JavaScript/CSS cache has been cleaned.","La cache JavaScript/CSS è stata pulita."
"An error occurred while clearing the JavaScript/CSS cache.","Si è verificato un errore durante la pulizia della cache JavaScript/CSS."
"The image cache was cleaned.","La cache delle immagini è stata pulita."
"An error occurred while clearing the image cache.","Si è verificato un errore durante la pulizia della cache delle immagini."
"Dashboard","Dashboard"
"invalid request","Richiesta non valida"
"see error log for details","Visualizza il registro degli errori per i dettagli"
"Service unavailable: %1","Servizio non disponibile: %1"
"Error","Errore"
"Access Denied","Accesso negato"
"You need more permissions to do this.","Hai bisogno di maggiori permessi per fare questo."
"No search modules were registered","Non sono stati registrati moduli di ricerca."
"Please make sure that all global admin search modules are installed and activated.","Assicurati che tutti i moduli di ricerca globali per l\'admin siano installati ed attivati."
"System","Sistema"
"The account has been saved.","L\'account è stato salvato"
"An error occurred while saving account.","Si è verificato un errore durante il salvataggio dell\'account"
"This section is not allowed.","Questa sezione non è permessa."
"You saved the configuration.","Configurazione salvata."
"An error occurred while saving this configuration:","Si è verificato un errore durante il salvataggio di questa configurazione:"
"Synchronizing %1 to %2","Sincronizzazione da %1 a %2"
"Synchronizing...","Sincronizzazione..."
"The timeout limit for response from synchronize process was reached.","Il limite di tempo per la risposta dal processo di sincronizzazione è stato raggiunto."
"Store Design","Design negozio"
"Edit Store Design Change","Edita le modifiche al design del negozio"
"You saved the design change.","Le modifiche al design sono state salvate."
"You deleted the design change.","Le modifiche al design sono state cancellate."
"Cannot delete the design change.","Impossibile cancellare le modifiche al design."
"Manage Stores","Gestisci negozi"
"The website does not exist.","Il sito web non esiste."
"Before modifying the website code please make sure that it is not used in index.php.","Prima di modificare il codice del sito web assicurarsi che non sia utilizzato in index.php."
"The store does not exist","Il negozio non esiste"
"Store view doesn't exist","La vista negozio non esiste"
"Before modifying the store view code please make sure that it is not used in index.php.","Prima di modificare il codice della vista negozio assicurarsi che non sia utilizzata in index.php"
"New ","Nuovo"
"The website has been saved.","Il sito web è stato salvato."
"The store has been saved.","Il negozio è stato salvato."
"The store view has been saved","La vista negozio è stata salvata."
"An error occurred while saving. Please review the error log.","Si è verificato un errore durante il salvataggio. Controllare il registro errori."
"Unable to proceed. Please, try again.","Impossibile procedere. Riprovare."
"This website cannot be deleted.","Il sito web non può essere eliminato."
"This store cannot be deleted.","Questo negozio non può essere eliminato."
"This store view cannot be deleted.","Questa vista negozio non può essere eliminata."
"Unable to proceed. Please, try again","Impossibile procedere. Riprovare."
"The website has been deleted.","Il sito web è stato eliminato."
"Unable to delete website. Please, try again later.","Impossibile eliminare il sito web. Riprovare più tardi."
"The store has been deleted.","Il negozio è stato eliminato."
"Unable to delete store. Please, try again later.","Impossibile eliminare il negozio. Riprovare più tardi."
"The store view has been deleted.","La vista negozio è stata eliminata."
"Unable to delete store view. Please, try again later.","Impossibile eliminare la vista negozio. Riprovare più tardi."
"The database was backed up.","È stato fatto il backup del database."
"We couldn't create a backup right now. Please try again later.","Non è possibile creare un database. Riprovare più tardi"
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Eliminando un %1 non eliminerà le informazioni associate con il %1 (es. categorie, prodotti, etc.), ma il %1 non sarà in grado di essere ripristinato. È consigliabile creare un backup del database prima di eliminare il %1."
"You saved the custom variable.","La variabile personalizzata è stata salvata."
"You deleted the custom variable.","La variabile personalizzata è stata eliminata."
"URL Rewrites","URL Rewrites"
"[New/Edit] URL Rewrite","[Nuovo/modifica] URL Rewrite"
"The URL Rewrite has been saved.","L\'URL Rewrite è stato salvato."
"An error occurred while saving URL Rewrite.","Si è verificato un errore durante il salvataggio degli URL Rewrite."
"Chosen product does not associated with the chosen store or category.","Il prodotto scelto non è associato alla categoria o al negozio scelto."
"Chosen category does not associated with the chosen store.","La categoria scelta non è associata al negozio scelto."
"Chosen cms page does not associated with the chosen store.","La pagina cms scelta non è associata al negozio scelto."
"The URL Rewrite has been deleted.","L\'URL Rewrite è stato eliminato."
"An error occurred while deleting URL Rewrite.","Si è verificato un errore durante l\'eliminazione degli URL Rewrite."
"Last 24 Hours","Ultime 24 ore"
"Last 7 Days","Ultimi 7 giorni"
"Current Month","Mese corrente"
"YTD","YTD"
"2YTD","2YTD"
"Please correct the user name or password.","Correggere il nome utente o la password."
"Authentication error occurred.","Si è verificato un errore durante l\'autenticazione."
"Please specify the admin custom URL.","Specificare l\'URL di amministrazione personalizzato."
"Invalid %1. %2","Non valido %1. %2"
"Value must be a URL or one of placeholders: %1","Il valore deve essere un URL o uno dei segnaposti: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specificare un URL od un percorso che incomincia con un segnaposto(i): %1, e termina con ""/""."
"%1 An empty value is allowed as well.","%1 è permesso anche un valore vuoto."
"Specify a fully qualified URL.","Specificare un URL completo."
"Selected allowed currency ""%1"" is not available in installed currencies.","La valuta corrente selezionata ""%1"" non è disponibile tra le valute installate."
"Default display currency ""%1"" is not available in allowed currencies.","La valuta mostrata come predefinita ""%1"" non è disponibile tra le valute permesse."
"Sorry, we haven't installed the base currency you selected.","Ci dispiace, non disponiamo della valuta di base selezionata."
"We can't save the Cron expression.","Non è possibile salvare l\'espressione Cron."
"Sorry, we haven't installed the default display currency you selected.","Ci dispiace, la valuta mostrata come predefinita selezionata non è installata."
"Sorry, the default display currency you selected in not available in allowed currencies.","Ci dispiace, la valuta mostrata come predefinita selezionata non è disponibile tra le valute permesse."
"Please correct the email address: ""%1"".","Correggere l'indirizzo email: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Il nome del mittente ""%1"" non è valido. Utilizzare solo caratteri visibili e spazi."
"Maximum sender name length is 255. Please correct your settings.","La lunghezza massima del nome del mittente è 255. Correggi le tue impostazioni."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Il file che stai caricando supera la dimensione limite del server di %1 kilobytes."
"The base directory to upload file is not specified.","La directory base in cui caricare i file non è specificata."
"The specified image adapter cannot be used because of: ","L\'adattatore immagine specificato non può essere utilizzato perché: "
"Default scope","Ambito predefinito"
"Base currency","Valuta corrente"
"Display default currency","Mostra valuta predefinita"
"website(%1) scope","Ambito sito web(%1) "
"store(%1) scope","Ambito negozio(%1) "
"Currency ""%1"" is used as %2 in %3.","La valuta ""%1"" è utilizzata come %2 in %3."
"Please correct the timezone.","Correggere il fuso orario."
"IP Address","Indirizzo IP"
"Cookie (unsafe)","Cookie (non sicuro)"
"Always (during development)","Sempre (durante lo sviluppo)"
"Only Once (version upgrade)","Solo una volta (aggiornamento versione)"
"Never (production)","Mai (produzione)"
"Bcc","Ccn"
"Separate Email","Separa e-mail"
"%1 (Default)","%1 (predefinito)"
"title","titolo"
"Optional","Opzionale"
"Required","Richiesto"
"Website","Sito web"
"File System","File System"
"Database","Database"
"HTTP (unsecure)","HTTP (non sicuro)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Sì (trovato 302)"
"Yes (301 Moved Permanently)","Sì (301 Spostato in modo permanente)"
"Specified","Specificato"
"Order","Ordine"
"Order #%1","Ordine #%1"
"Order #%1 (%2)","Ordine #%1 (%2)"
"Access denied","Accesso negato"
"Please try to log out and sign in again.","Prova a disconnetterti e a riconnetterti."
"If you continue to receive this message, please contact the store owner.","Se continui a ricevere questo messaggio contatta il proprietario del negozio"
"Access denied.","Accesso negato."
"Log into Magento Admin Page","Accedi alla pagina di amministrazione di magento"
"Magento Admin Panel","Magento Admin Panel"
"Welcome","Benvenuto"
"User Name:","Nome utente:"
"user name","Nome utente"
"Password:","Password:"
"password","password"
"Log in","Accedi"
"Please wait...","Attendere..."
"Select Range:","Seleziona intervallo:"
"No Data Found","Nessun dato trovato"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Il grafico è disabilitato. Per abilitarlo cliccare <a href=""%1"">qui</a>."
"Last 5 Orders","Ultimi 5 ordini"
"Last 5 Search Terms","Ultimi 5 termini di ricerca"
"Top 5 Search Terms","Top 5 termini di ricerca"
"There are no search keywords.","Non ci sono parole chiave di ricerca."
"View Statistics For:","Visualizza statistiche per:"
"All Websites","Tutti i siti web"
"Shipping Amount","Importo spedizione"
"Tax Amount","Importo tasse"
"Browse Files...","Sfoglia file..."
"Magento is an eBay Inc. company. Copyright&copy; %1 Magento, Inc. All rights reserved.","Magento è una compagnia eBay Inc. . Copyright&copy; %1 Magento, Inc. Tutti i diritti riservati. Tradotto dai <a href=""""http://ecommerce-italiano.it"""" target=""""_blank"""">Maintainer Ufficiali della traduzione Italiana</a>"
"Magento ver. %1","Magento ver. %1"
"Help Us Keep Magento Healthy - Report All Bugs","Aiutaci a mantenere Magento in salute – Segnala tutti i bugs"
"Account Setting","Impostazioni account"
"Customer View","Visualizzazione cliente"
"Sign Out","Disconnettiti"
"About the calendar","Informazioni sul calendario"
"Go Today","Vai a oggi"
"Previous","Precedente"
"Next","Successivo"
"WK","WK"
"Time","Orario"
"Hour","Ora"
"Minute","Minuto"
"Please select an option.","Selezionare un\'opzione."
"This is a required field.","Questo è un campo obbligatorio."
"Please enter a valid number in this field.","Inserire un numero in questo campo."
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.","Inserire solo numeri (1-9) in questo campo. Non utilizzare spazi, virgole o qualsiasi altro carattere."
"Please enter only letters (a-z) into this field.","Inserire solo lettere (a-z) in questo campo."
"Please enter only numbers (0-9) or letters (a-z) into this field.","Inserire solo numeri (0-9) o lettere (a-z) in questo campo."
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.","Inserire solo numeri o lettere in questo campo. Non usare spazi, virgole o qualsiasi altro carattere."
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","Inserire solo lettere (a-z), numeri (0-9), spazi e ""#"" in questo campo."
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).","Inserire un numero di telefono valido (per esempio, +39 3491234567 o 0123-4567890)."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address(for example johndoe@domain.com.).","Inserire un indirizzo email valido (per esempio mariorossi@nome_dominio.it)."
"Please enter 6 or more characters.","Inserire 6 o più caratteri."
"Please make sure your passwords match.","Assicurarsi che le password coincidano."
"Please enter a valid URL (for example, the URL must begin with ""http://"").","Inserire un URL valido (per esempio, l\'URL deve iniziare con ""http://"")."
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","Inserire un URL valido (per esempio, http://www.esempio.it o www.esempio.it)."
"Please enter a valid social security number (for example, 123-45-6789).","Inserire un codice fiscale valido (per esempio RSS MRA 85T10 A562S)."
"Please enter a valid zip code (for example, 90602 or 90602-1234).","Inserire un codice postale valido (per esempio, 90602 or 90602-1234)."
"Please enter a valid zip code.","Inserire un codice postale valido."
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.","Utilizzare questo formato per la data: gg/mm/aaaa. Per esempio, inserire ""17/03/2006"" per il 17 Marzo 2006."
"Please enter a valid dollar amount (for example, $100.00).","Inserire un importo valido (per esempio, €100.00)."
"Please select one of these options.","Selezionare una di queste opzioni."
"Please select State/Province.","Selezionare Stato/provincia."
"Please enter a valid password.","Inserire una password valida."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valido."
"Please wait, loading...","Attendere prego, caricamento..."
"JavaScript may be disabled in your browser.","JavaScript può essere disabilitato nel tuo browser."
"To use this website you must first enable JavaScript in your browser.","Per utilizzare questo sito web devi prima abilitare JavaScript nel tuo browser."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Questo è solo un negozio di prova. Puoi navigare ed effettuare degli ordini, ma niente verrà preso in carico."
"Scope:","Ambito:"
"Stores Configuration","Configurazione negozi"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Confermare cambiamento ambito. Tutti i dati non salvati andranno persi."
"Additional Cache Management","Gestione della cache aggiuntiva"
"Flush Catalog Images Cache","Svuota la cache immagini del catalogo"
"Pregenerated product images files","File immagini prodotto pregenerati"
"Flush JavaScript/CSS Cache","Svuota la cache JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file.","I file JavaScript e CSS dei temi sono stati combinati in un unico file."
"Catalog","Catalogo"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Add after","Aggiungi dopo"
"Current Configuration Scope:","Configurazione ambito corrente:"
"Personal Information","Informazioni personali"
"No records found.","Nessun risultato trovato."
"Select Category","Seleziona categoria."
"Images","Immagini"
"Big Image","Immagine grande"
"Thumbnail","Thumbnail"
"Additional Settings","Impostazioni aggiuntive"
"Total %1 records found","Ttrovati un totale di %1 risultati"
"View","Visualizza"
"per page","per pagina"
"Page","Pagina"
"Previous page","Pagina precedente"
"of %1","di %1"
"Next page","Pagine successiva"
"Export to:","Export in:"
"Actions","Azioni"
"Mass Actions","Azioni di massa"
"Unselect All","Deseleziona tutto"
"Select Visible","Seleziona visibile"
"Unselect Visible","Deseleziona visibile"
"items selected","Articoli selezionati"
"The information in this tab has been changed.","Le informazioni in questa scheda sono state modificate."
"This tab contains invalid data. Please solve the problem before saving.","Questa scheda contiene dei dati non validi. Risolvi il problema prima di salvare."
"Loading...","Caricamento..."
"Country","Paese"
"City","Città"
"VAT Number","Numero P.IVA"
"Street Address","Indirizzo"
"Design","Design"
"Media Storage","Archivio Media"
"Admin","Admin"
"Advanced","Avanzato"
"Transactional Emails","E-mail transazionali"
"Store Name","Nome negozio"
"Store Phone Number","Numero telefonico negozio"
"Region/State","Regione/stato"
"Sender Name","Nome mittente"
"Sender Email","Mittente e-mail"
"Locale","Locale"
"Base URL","Base URL"
"Enable Charts","Abilita grafici"
"Secure Base URL","Base URL sicuro"
"Host","Host"
"File extension not known or unsupported type.","Estensione file non conosciuta o di tipo non supportato."
"Debug","Debug"
"System(config.xml, local.xml) and modules configuration files(config.xml, menu.xml).","File di sistema(config.xml, local.xml) e di configurazione moduli(config.xml, menu.xml)."
"Services","Servizi"
"Disable Modules Output","Disabilita output moduli"
"Store Email Addresses","Indirizzi e-mail negozio"
"Custom Email 1","E-mail personalizzata 1"
"Custom Email 2","E-mail personalizzata 2"
"General Contact","Contatto generale"
"Sales Representative","Rappresentante vendite"
"Customer Support","Supporto clienti"
"User-Agent Exceptions","Eccezioni user-agent"
"
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    ","
                        Le stringhe di ricerca sono stringhe normali o eccezioni regolari (PCRE). Sono abbinate nello stesso ordine in cui sono inserite:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    "
"Find a string in client user-agent header and switch to specific design theme for that browser.","Trova una stringa nell\'header dell\'user-agent del cliente e passa al tema specifico per quel browser."
"Pagination","Impaginazione"
"Pagination Frame","Struttura impaginazione"
"How many links to display at once.","Quanti link mostrare in una sola volta."
"Pagination Frame Skip","Salta struttura impaginazione"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se la posizione della struttura corrente non copre le pagine utmost, renderà i link alla posizione corrente più/meno questo valore."
"Anchor Text for Previous","Testo ancorato per i precedenti"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Testo alternativo per i link nel menu di impaginazione. Se vuoto verrà utilizzata l\'immagine predefinita di una freccia."
"Anchor Text for Next","Anchor Text for Next"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternative text for next link in pagination menu. If empty, default arrow image will used."
"Logo Image","Immagine logo"
"Logo Image Alt","Alt immagine logo"
"Developer","Developer"
"Developer Client Restrictions","Restrizione client developer"
"Allowed IPs (comma separated)","IP permessi (separati da una virgola)"
"Leave empty for access from any location.","Lasciare vuoto per avere accesso da qualsiasi luogo."
"Template Path Hints","Suggerimenti percorsi template."
"Add Block Names to Hints","Aggiungi nomi blocchi ai suggerimenti"
"Template Settings","Impostazioni template"
"Allow Symlinks","Consenti Symlinks"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Attenzione! Non è consigliato abilitare questa funzionalità in ambienti di produzione perché rappresenta un potenziale rischio per la sicurezza."
"Translate Inline","Traduttore in linea"
"Enabled for Frontend","Abilitato per il frontend"
"Enabled for Admin","Abilitato per admin"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Traduzioni, blocchi e tutti gli altri output della cache dovrebbero essere disabilitati per la traduzione in linea del frontend e del backend."
"Log Settings","Registro impostazioni"
"System Log File Name","Nome file di registro del sistema"
"Logging from \Psr\Log\LoggerInterface. File is located in {{base_dir}}/var/log","Logging da \Psr\Log\LoggerInterface. Il file si trova in {{base_dir}}/var/log"
"Exceptions Log File Name","Eccezioni nome file registro"
"JavaScript Settings","Impostazioni JavaScript"
"Merge JavaScript Files","Unisci i file JavaScript"
"Minify JavaScript Files","Minimizza i file JavaScript"
"CSS Settings","Impostazioni CSS"
"Merge CSS Files","Unisci i file CSS"
"Image Processing Settings","Impostazioni trattamento immagini"
"Image Adapter","Adattatore immagini"
"Static Files Settings","Impostazioni file statici"
"Sign Static Files","Firma file statici"
"Country Options","Opzioni paesi"
"Allow Countries","Consenti paesi"
"Default Country","Paese predefinito"
"European Union Countries","Paesi Unione Europea"
"Locale Options","Opzioni locali"
"Timezone","Fuso orario"
"First Day of Week","Primo giorno della settimana"
"Weekend Days","Giorni del fine settimana"
"ZIP/Postal Code","ZIP/Codice postale"
"Street Address Line 2","Seconda linea indirizzo"
"Single-Store Mode","Modalità singolo negozio"
"Enable Single-Store Mode","Abilita modalità singolo negozio"
"This setting will not be taken into account if system has more than one store view.","Questa impostazioni non sarà presa in considerazione se il sistema possiede più di una vista negozio."
"Mail Sending Settings","Impostazioni invio e-mail"
"Disable Email Communications","Disabilita comunicazioni via e-mail"
"Port (25)","Porta (25)"
"Set Return-Path","Imposta percorso di ritorno"
"Return-Path Email","Percorso di ritorno e-mail"
"Storage Configuration for Media","Configurazione archivio per i media"
"Select Media Database","Seleziona database per i media"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Dopo aver selezionato una nuova posizione per l\'archivio dei media, premi il pulsante di sincronizzazione per trasferire tutti i media a questa posizione. I media non saranno disponibile nella nuova posizione fino a quando il processo di sincronizzazione non sarà completo."
"Environment Update Time","Orario aggiornamento ambiente"
"Admin User Emails","E-mail utente admin"
"Forgot Password Email Template","Template e-mail password dimenticata"
"Forgot and Reset Email Sender","Mittente e-mail dimenticata e reset"
"Recovery Link Expiration Period (days)","Tempo durata link di recupero (giorni)"
"Please enter a number 1 or greater in this field.","Inserire un numero uguale o maggiore di 1 in questo campo."
"Startup Page","Pagina iniziale"
"Admin Base URL","Admin Base URL"
"Use Custom Admin URL","Usa un URL admin personalizzato"
"Custom Admin URL","Admin URL personalizzato"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Assicurati che il base URL finisca con '/' (slash), es. http://iltuodominio/magento/"
"Use Custom Admin Path","Utilizza percorso admin personalizzato"
"Custom Admin Path","Percorso admin personalizzato"
"You will have to log in after you save your custom admin path.","Devi accedere dopo aver salvato il percorso admin personalizzato."
"Security","Sicurezza"
"Add Secret Key to URLs","Aggiungi chiave segreta agli URL"
"Login is Case Sensitive","Accedi è case sensitive"
"Admin Session Lifetime (seconds)","Durata sessione admin (secondi)"
"Values less than 60 are ignored.","I valori inferiori a 60 verranno ignorati."
"Web","Web"
"Url Options","Opzioni URL"
